axis,panel_kind,experiment_short,condition,omics,timepoint,timepoint_hours,growth_phase,n_axis_with_data,axis_score,permutation_p_raw,permutation_n_exceed,permutation_mean,permutation_sd,permutation_p_bh,sig_05,sig_01
n_stress,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 89,2136.0,death,27,0.4749935355051943,0.005499450054994501,54,-0.012304224706229027,0.1935768986399997,0.024747525247475255,True,False
n_stress,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 31,744.0,death,27,0.5310743065344138,0.0017998200179982,17,-0.012413274992427656,0.19518668467842842,0.0088354800883548,True,True
n_stress,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 14,336.0,nutrient_limited,27,0.9276455986286836,9.999000099990002e-05,0,-0.017979063479663306,0.1949102272741095,0.00071992800719928,True,True
oxidative,positive,proteomics_axenic,axenic,PROTEOMICS,day 89,2136.0,death,5,0.277971470201693,0.23997600239976002,2399,-0.030152851827402037,0.4511938982575637,0.3122579308334227,False,False
oxidative,positive,proteomics_axenic,axenic,PROTEOMICS,day 31,744.0,death,5,0.2774114745609358,0.28087191280871915,2808,0.011179709879433716,0.44720673445703296,0.339513301417111,False,False
oxidative,positive,proteomics_axenic,axenic,PROTEOMICS,day 14,336.0,nutrient_limited,5,0.1878983733584601,0.3501649835016498,3501,0.018353178451121038,0.44814869281191655,0.38987441462039363,False,False
oxidative,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 89,2136.0,death,21,-0.0004077024225519,0.49945005499450057,4994,-0.0011177313952932676,0.22085131840538738,0.49945005499450057,False,False
oxidative,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 31,744.0,death,21,0.0177325066490799,0.48195180481951805,4819,-0.00027005962877321536,0.22377590772905484,0.4864560272944668,False,False
oxidative,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 14,336.0,nutrient_limited,21,-0.0750009300607707,0.34336566343365665,3433,0.004116757727154429,0.22090433822076158,0.3862863713628637,False,False
photo,positive,proteomics_axenic,axenic,PROTEOMICS,day 89,2136.0,death,3,2.265356485296196,0.00029997000299970003,2,-0.15895897142732424,0.5754841652409727,0.0020247975202479754,True,True
photo,positive,proteomics_axenic,axenic,PROTEOMICS,day 31,744.0,death,3,3.152007030279917,9.999000099990002e-05,0,0.07917758794546662,0.562931736405108,0.00071992800719928,True,True
photo,positive,proteomics_axenic,axenic,PROTEOMICS,day 14,336.0,nutrient_limited,3,1.1747592208218276,0.040695930406959305,406,0.08277059891775977,0.5748622539409048,0.09767023297670233,False,False
