locus_tag,gene_name,direction,signature_type,tolonen_peak_timepoint,tolonen_best_dir_rank,tolonen_best_global_rank,read_peak_timepoint,read_best_dir_rank,read_best_global_rank,cross_study_best_dir_rank,product,gene_category
PMM1146,pntA2,up,core,12h,141.0,439,24h,87.0,184,87.0,"pyridine nucleotide transhydrogenase, subunit alpha2 (A2)",Coenzyme metabolism
PMM0969,ureG,up,core,12h,113.0,342,12h,89.0,224,89.0,urease accessory protein UreG,Stress response and adaptation
PMM1643,ribH,down,core,12h,89.0,153,24h,123.0,239,89.0,"6,7-dimethyl-8-ribityllumazine synthase",Coenzyme metabolism
PMM0560,hisG,down,core,6h,89.0,190,24h,165.0,424,89.0,ATP phosphoribosyltransferase,Amino acid metabolism
PMM0510,,down,core,12h,105.0,198,12h,94.0,183,94.0,uncharacterized conserved membrane protein,Cell wall and membrane
PMM0273,mviM,down,core,12h,142.0,301,12h,96.0,207,96.0,NAD(P)-binding oxidoreductase,Unknown
PMM1607,psaC,down,core,24h,102.0,233,24h,99.0,189,99.0,photosystem I iron-sulfur center subunit VII PsaC,Photosynthesis
PMM0930,phdB,down,core,24h,141.0,456,24h,102.0,195,102.0,pyruvate dehydrogenase E1 component beta subunit,Carbohydrate metabolism
PMM1440,ycf65,down,core,24h,104.0,235,12h,113.0,249,104.0,ribosomal protein Ycf65,Translation
PMM1442,pepP,up,core,12h,139.0,434,24h,107.0,241,107.0,Xaa-Pro aminopeptidase,Post-translational modification
PMM0906,psaK,down,core,24h,121.0,244,24h,107.0,205,107.0,photosystem I reaction center subunit X,Photosynthesis
PMM0769,glgC,down,core,12h,121.0,242,24h,108.0,208,108.0,glucose-1-phosphate adenylyltransferase,Carbohydrate metabolism
PMM0296,ycf48,down,core,12h,137.0,279,12h,111.0,258,111.0,photosystem II stability/assembly factor,Photosynthesis
PMM0206,secE,down,core,6h,115.0,318,24h,155.0,332,115.0,Preprotein translocase SecE subunit,Post-translational modification
PMM0753,rpsB,down,core,24h,117.0,278,12h,125.0,341,117.0,30S ribosomal protein S2,Translation
PMM0026,efp,down,core,6h,119.0,352,24h,159.0,349,119.0,translation elongation factor P,Translation
PMM0142,,down,core,24h,126.0,307,24h,121.0,237,121.0,RNA-binding protein,Transport
PMM0844,cycI1,down,core,24h,129.0,316,24h,144.0,298,129.0,Mg-protoporphyrin IX monomethylester oxidative cyclase,Coenzyme metabolism
