"group_id","gene","organism","experiment_id","treatment_types","significant_up","significant_down","not_significant"
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/nature06130_viral_phage_infected_med4_microarray","viral",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/nature06130_viral_phage_infected_med4_microarray","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/nature06130_viral_phage_infected_med4_microarray","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/nature06130_viral_phage_infected_med4_microarray","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/nature06130_viral_phage_infected_med4_microarray","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/nature06130_viral_phage_infected_med4_microarray","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/nature06130_viral_phage_infected_med4_microarray","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1038/nature06130_viral_phage_infected_med4_microarray","viral",0,0,1
"cyanorak:CK_00000076","urtA","Synechococcus WH7803","10.1038/nmicrobiol.2017.100_late_coculture_syn_wh7803_proteomics","coculture",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1038/s42003-019-0410-x_plastic_hdpe_plastic_leachate_50_natl2a_rnaseq","plastic",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9312","10.1038/s42003-019-0410-x_plastic_pvc_plastic_leachate_2_mit9312_rnaseq","plastic",1,0,0
"cyanorak:CK_00000076","urtA","Synechococcus WH8102","10.1038/s43705-022-00197-2_carbon_stress_elevated_pco2_800_ppm_wh8102_rnaseq","carbon",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray","phosphorus",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray","phosphorus",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray","phosphorus",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray","phosphorus",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray","phosphorus",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq","coculture",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic","nitrogen",1,0,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq","viral",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MIT9313","10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq","viral",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_axenic","darkness",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_axenic","darkness",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_axenic","darkness",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_coculture","darkness",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_coculture","darkness",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_coculture","darkness",0,1,0
"cyanorak:CK_00000076","urtA","Synechococcus WH8102","10.1128/spectrum.03275-22_dark_high_glucose_wh8102_proteomics","carbon",0,0,1
"cyanorak:CK_00000076","urtA","Synechococcus WH8102","10.1128/spectrum.03275-22_dark_low_glucose_wh8102_proteomics","carbon",0,0,1
"cyanorak:CK_00000076","urtA","Synechococcus WH8102","10.1128/spectrum.03275-22_light_high_glucose_wh8102_proteomics","carbon",0,0,1
"cyanorak:CK_00000076","urtA","Synechococcus WH8102","10.1128/spectrum.03275-22_light_low_glucose_wh8102_proteomics","carbon",0,0,1
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_dark","light",0,1,0
"cyanorak:CK_00000076","urtA","Prochlorococcus MED4","10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_infected","light",0,1,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/ismej.2015.36_carbon_low_co2_0004_co2_med4_microarray","carbon",0,1,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/ismej.2015.36_carbon_low_co2_and_no_med4_microarray","carbon",0,1,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq","coculture",0,1,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Synechococcus WH7803","10.1038/nmicrobiol.2017.100_early_coculture_syn_wh7803_proteomics","coculture",0,0,1
"cyanorak:CK_00001552","cynS","Synechococcus WH7803","10.1038/nmicrobiol.2017.100_late_coculture_syn_wh7803_proteomics","coculture",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,1,0
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq","darkness",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq","coculture",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus MED4","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen",1,0,0
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_axenic","darkness",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_axenic","darkness",0,1,0
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_axenic","darkness",0,1,0
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_coculture","darkness",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_coculture","darkness",0,0,1
"cyanorak:CK_00001552","cynS","Prochlorococcus NATL2A","10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_coculture","darkness",0,0,1
