group_id,consensus_gene_name,consensus_product,experiment_id,treatment_type,background_factors,organism_name,coculture_partner,timepoint,timepoint_hours,timepoint_order,growth_phase,genes_with_expression,significant_up,significant_down,not_significant,total_genes
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,phosphorus,axenic | light,Prochlorococcus MED4,,48h,48.0,5,nutrient_limited,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq,darkness,coculture | diel,Prochlorococcus NATL2A,,0h,0.0,1,diel,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq,darkness,coculture | diel,Prochlorococcus NATL2A,,4h,4.0,2,diel,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq,darkness,coculture | diel,Prochlorococcus NATL2A,,8h,8.0,3,diel,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq,darkness,coculture | diel,Prochlorococcus NATL2A,,13h,13.0,4,diel,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq,darkness,coculture | diel,Prochlorococcus NATL2A,,16h,16.0,5,diel,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq,darkness,coculture | diel,Prochlorococcus NATL2A,,20h,20.0,6,diel,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq,darkness,coculture | diel,Prochlorococcus NATL2A,,24h,24.0,7,diel,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,light,Prochlorococcus MED4,Alteromonas macleodii HOT1A3,day 11,264.0,1,exponential,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,axenic | light,Prochlorococcus MED4,,day 14,336.0,1,nutrient_limited,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,axenic | light,Prochlorococcus MED4,,day 31,744.0,2,death,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen,axenic | light,Prochlorococcus MED4,,day 89,2136.0,3,death,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,coculture | light,Prochlorococcus MED4,,day 18,432.0,1,nutrient_limited,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,coculture | light,Prochlorococcus MED4,,day 31,744.0,2,nutrient_limited,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,coculture | light,Prochlorococcus MED4,,day 60,1440.0,3,nutrient_limited,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,coculture | light,Prochlorococcus MED4,,day 89,2136.0,4,nutrient_limited,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,coculture | light,Prochlorococcus MED4,,days 60+89,,5,nutrient_limited,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,axenic | light,Prochlorococcus MED4,,day 14,336.0,1,nutrient_limited,1,1,0,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen,coculture | light,Prochlorococcus MED4,,day 18,432.0,1,nutrient_limited,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen,coculture | light,Prochlorococcus MED4,,day 31,744.0,2,nutrient_limited,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen,coculture | light,Prochlorococcus MED4,,day 60,1440.0,3,nutrient_limited,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen,coculture | light,Prochlorococcus MED4,,day 89,2136.0,4,nutrient_limited,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen,coculture | light,Prochlorococcus MED4,,days 60+89,,5,nutrient_limited,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq,viral,light,Prochlorococcus MIT9313,Phage,0.5h,0.5,1,exponential,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq,viral,light,Prochlorococcus MIT9313,Phage,1h,1.0,2,exponential,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq,viral,light,Prochlorococcus MIT9313,Phage,2h,2.0,3,exponential,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq,viral,light,Prochlorococcus MIT9313,Phage,4h,4.0,4,exponential,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq,viral,light,Prochlorococcus MIT9313,Phage,8h,8.0,5,exponential,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq,viral,light,Prochlorococcus MIT9313,Phage,12h,12.0,6,exponential,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq,viral,light,Prochlorococcus MIT9313,Phage,24h,24.0,7,exponential,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq,viral,light,Prochlorococcus MIT9313,Phage,48h,48.0,8,exponential,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq,viral,light,Prochlorococcus MIT9313,Phage,72h,72.0,9,exponential,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_axenic,darkness,axenic | diel,Prochlorococcus NATL2A,,1h extended darkness (36h),36.0,1,darkness,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_axenic,darkness,axenic | diel,Prochlorococcus NATL2A,,5h extended darkness (40h),40.0,2,darkness,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_axenic,darkness,axenic | diel,Prochlorococcus NATL2A,,13h extended darkness (48h),48.0,3,darkness,1,0,0,1,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_coculture,darkness,coculture | diel,Prochlorococcus NATL2A,,1h extended darkness (36h),36.0,1,darkness,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_coculture,darkness,coculture | diel,Prochlorococcus NATL2A,,5h extended darkness (40h),40.0,2,darkness,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_coculture,darkness,coculture | diel,Prochlorococcus NATL2A,,13h extended darkness (48h),48.0,3,darkness,1,0,1,0,1
