"gene_name","locus_tag","experiment_id","treatment_types","expression_status"
"urtB","PMM0971","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"cynD","PMM0372","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","significant_up"
"cynS","PMM0373","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","significant_up"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","significant_down"
"cynD","PMM0372","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","significant_up"
"urtA","PMM0970","10.1038/nature06130_viral_phage_infected_med4_microarray","viral","not_significant"
"urtA","PMM0970","10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_infected","light","significant_down"
"urtA","PMM0970","10.1038/nature06130_viral_phage_infected_med4_microarray","viral","not_significant"
"urtE","PMM0974","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtC","PMM0972","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","significant_up"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"cynD","PMM0372","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","significant_up"
"urtA","PMM0970","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","significant_down"
"urtD","PMM0973","10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq","coculture","significant_up"
"urtD","PMM0973","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtA","PMM0970","10.1038/nature06130_viral_phage_infected_med4_microarray","viral","significant_up"
"urtB","PMM0971","10.1038/ismej.2015.36_carbon_low_co2_and_no_med4_microarray","carbon","significant_down"
"urtC","PMM0972","10.1038/ismej.2015.36_carbon_air_0036_co2_21_med4_microarray","carbon","significant_up"
"amt1","PMM0263","10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq","coculture","not_significant"
"urtB","PMM0971","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen","not_significant"
"urtE","PMM0974","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic","nitrogen","significant_up"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"cynD","PMM0372","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtE","PMM0974","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic","nitrogen","significant_up"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"cynS","PMM0373","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","significant_up"
"urtC","PMM0972","10.1038/ismej.2015.36_carbon_low_co2_and_no_med4_microarray","carbon","significant_down"
"cynS","PMM0373","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"cynD","PMM0372","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","significant_up"
"cynD","PMM0372","10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq","coculture","not_significant"
"urtD","PMM0973","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtB","PMM0971","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","significant_up"
"urtA","PMM0970","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"urtA","PMM0970","10.1038/nature06130_viral_phage_infected_med4_microarray","viral","not_significant"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtA","PMM0970","10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray","phosphorus","not_significant"
"urtA","PMM0970","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"urtE","PMM0974","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","significant_up"
"urtE","PMM0974","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"urtD","PMM0973","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"cynS","PMM0373","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","significant_up"
"amt1","PMM0263","10.1021/pr060460c_light_ML_vs_LL_med4_proteomics","light","significant_up"
"cynS","PMM0373","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","significant_up"
"cynS","PMM0373","10.1038/ismej.2015.36_carbon_low_co2_and_no_med4_microarray","carbon","significant_down"
"urtB","PMM0971","10.1038/ismej.2015.36_carbon_air_0036_co2_21_med4_microarray","carbon","significant_up"
"urtB","PMM0971","10.1038/ismej.2015.36_carbon_low_co2_0004_co2_med4_microarray","carbon","significant_down"
"amt1","PMM0263","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","significant_up"
"cynD","PMM0372","10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray","nitrogen","not_significant"
"urtA","PMM0970","10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray","phosphorus","not_significant"
"cynS","PMM0373","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"amt1","PMM0263","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","significant_up"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","significant_up"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","significant_up"
"urtA","PMM0970","10.1038/nature06130_viral_phage_infected_med4_microarray","viral","not_significant"
"urtD","PMM0973","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic","nitrogen","significant_up"
"urtA","PMM0970","10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray","phosphorus","not_significant"
"cynS","PMM0373","10.1038/ismej.2015.36_carbon_low_co2_0004_co2_med4_microarray","carbon","significant_down"
"urtD","PMM0973","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","not_significant"
"urtE","PMM0974","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"cynD","PMM0372","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"urtE","PMM0974","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"urtC","PMM0972","10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq","coculture","not_significant"
"urtA","PMM0970","10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray","nitrogen","significant_up"
"cynS","PMM0373","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtB","PMM0971","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtE","PMM0974","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen","not_significant"
"urtD","PMM0973","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"urtE","PMM0974","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtE","PMM0974","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","not_significant"
"urtB","PMM0971","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtA","PMM0970","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"urtC","PMM0972","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"urtE","PMM0974","10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq","coculture","not_significant"
"amt1","PMM0263","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"amt1","PMM0263","10.1038/ismej.2015.36_carbon_low_co2_0004_co2_med4_microarray","carbon","significant_down"
"urtE","PMM0974","10.1038/ismej.2015.36_carbon_air_0036_co2_21_med4_microarray","carbon","significant_up"
"urtA","PMM0970","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtD","PMM0973","10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray","nitrogen","not_significant"
"cynS","PMM0373","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic","nitrogen","not_significant"
"urtE","PMM0974","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtA","PMM0970","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"urtC","PMM0972","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic","nitrogen","not_significant"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","not_significant"
"urtE","PMM0974","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"cynS","PMM0373","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"cynD","PMM0372","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"urtE","PMM0974","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"urtD","PMM0973","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"amt1","PMM0263","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"cynS","PMM0373","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"urtA","PMM0970","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"amt1","PMM0263","10.1371/journal.pone.0165375_viral_phage_phm2_lysate_med4_rnaseq_dark","viral","significant_up"
"urtB","PMM0971","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtB","PMM0971","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen","not_significant"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"cynD","PMM0372","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
