class,first_author,experiment_short,experiment_id,timepoint,timepoint_hours,direction,ontology,term_id,term_name,expected_direction,signed_score,p_adjust,count,bg_count,fold_enrichment,is_significant,agrees_with_expected
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,-0.0,1.0,1,31,1.3185483870967742,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,kegg,kegg.pathway:ko00195,Photosynthesis,down,-0.0,1.0,0,11,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,-0.0,1.0,0,7,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,-0.0,1.0,0,5,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,kegg,kegg.pathway:ko03010,Ribosome,down,-0.0,1.0,1,30,1.3624999999999998,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,0.0,1.0,0,16,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,0.0,1.0,0,28,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,0.0,1.0,0,21,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,0.0,1.0,0,17,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,0.0,1.0,0,30,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,0.0,1.0,0,61,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,kegg,kegg.pathway:ko00195,Photosynthesis,down,0.0,1.0,0,51,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,0.0,1.0,0,15,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,0.0,1.0,0,25,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,kegg,kegg.pathway:ko00910,Nitrogen metabolism,up,0.0,1.0,0,6,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,kegg,kegg.pathway:ko03010,Ribosome,down,0.0,1.0,0,54,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,-0.0,1.0,1,16,1.958686440677966,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,4.06308488308635,8.64798876858366e-05,8,28,8.953995157384988,True,True
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,-0.0,1.0,0,21,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,-0.0,1.0,0,17,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,-0.0,1.0,0,30,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,-0.0,1.0,0,61,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,kegg,kegg.pathway:ko00195,Photosynthesis,down,-0.0,1.0,0,51,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,-0.0,1.0,1,15,2.089265536723164,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,-0.0,1.0,0,25,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,kegg,kegg.pathway:ko00910,Nitrogen metabolism,up,4.799435032012628,1.586956300843136e-05,5,6,26.115819209039547,True,True
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,kegg,kegg.pathway:ko03010,Ribosome,down,-0.0,1.0,0,54,0.0,False,
