organism_name,condition,timepoint_label,timepoint_hours,locus_tag,gene_name,log2fc_rna,padj_rna,expression_status_rna,log2fc_prot,padj_prot,expression_status_prot,category,category_compact
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16605,rutA,-2.5849203341223816,0.0548241745997788,not_significant,-1.17399342854818,0.507284498902997,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_19480,nfuA,-2.5777942654120105,2.325826266804826e-06,significant_down,-0.877597173055015,0.766642867642397,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_14120,,-2.568623310795389,9.799032089373416e-08,significant_down,0.0204664866129557,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_19340,,-2.5265206079742484,2.5311908054183708e-05,significant_down,0.173887252807617,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16310,pspA,-2.5204497111001007,0.0009318929069968,significant_down,-1.74576059977213,0.48105326190676,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_07870,,-2.4874447685046746,0.0648726182783944,not_significant,0.0373783111572263,0.994344505317615,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16425,,-2.4809024746445947,0.0007197469362205,significant_down,0.0149796803792297,0.997826761424313,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_12665,,-2.471692901911714,2.4299620855474226e-06,significant_down,0.180991490681967,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05875,ycgB,-2.4508682477306927,1.6120583174218869e-06,significant_down,-1.0552323659261,0.273364580807332,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_09020,drrA,-2.447362051909894,9.691529825427925e-06,significant_down,0.0252914428710937,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_11970,xenA,-2.4308722093032515,0.0008615712430854,significant_down,1.73845354715983,0.27849111986039,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05880,yeaH,-2.4302015185790244,2.4299620855474226e-06,significant_down,-0.896116256713868,0.370693609570993,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_06950,maa,-2.4240443611883125,1.504536388361962e-05,significant_down,0.2218017578125,0.942587611611671,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01150,rng,-2.4062231044926268,0.0003867074840866,significant_down,-0.275160471598308,0.689262749782023,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_19160,,-2.4041385988682995,2.389181845041675e-05,significant_down,0.0351613362630211,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_04695,kpsT,2.382397501367155,2.697992325914789e-06,significant_up,-0.313325881958008,0.970900517692326,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_19385,,2.3425486464130554,0.1198652409259734,not_significant,0.18481699625651,0.964708285763522,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_06705,aroH,-2.326193868367399,0.0023561237514617,significant_down,-0.396965662638347,0.577560407922869,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16385,csgA,-2.3186450221242856,0.0002171862893023,significant_down,0.0670471191406272,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_02345,,-2.3136068507214325,3.8253498852293444e-08,significant_down,0.114771525065104,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05120,,-2.310057869852857,1.504536388361962e-05,significant_down,-0.0795160929361973,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_14685,pilC,-2.309922555683764,0.0054410838069746,significant_down,0.544425964355469,0.434963621232566,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_12230,,2.301400099229256,0.0002623874122333,significant_up,2.15428606669108,0.273364580807332,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01665,rpsJ,2.297586298247291,3.7955875224584726e-06,significant_up,0.217468261718754,0.994344505317615,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01485,cheR,-2.2645570949041827,0.0001752362387875,significant_down,-0.42343266805013,0.938240965107968,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_13175,fimT,-2.2453625930334287,0.0054090804022671,significant_down,0.595753351847329,0.61186063410776,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05025,flgG,-2.2294039193694184,0.0008309805563113,significant_down,0.19741058349609,0.943262415001188,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05535,,2.214662446382204,2.494841360851331e-07,significant_up,-0.608507792154946,0.612723724648681,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01670,rplC,2.2118964752737345,2.028736114544694e-05,significant_up,0.0193157196044931,0.996597184547162,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_18610,,2.2034808208545584,0.003045165796291,significant_up,0.279268900553386,0.994344505317615,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_10550,yccA,-2.1994887510810286,0.0017176752671875,significant_down,-0.220787048339844,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_04970,,-2.174100680879409,0.0001223284939805,significant_down,0.420183181762697,0.680244688236115,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01650,acnA,-2.1729893364437047,5.853078129083253e-06,significant_down,0.293369293212888,0.938240965107968,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_13920,,-2.136974985811574,0.0027724282058156,significant_down,0.380020777384439,0.95706267215355,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_17585,,2.1358655721102293,9.159703383884676e-06,significant_up,0.076381683349609,0.994344505317615,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_18385,,-2.1327522994640606,9.749085674367863e-07,significant_down,0.156404495239258,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_18250,ubiG,-2.127334280107172,0.001145543950577,significant_down,-0.0743134816487627,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15955,,2.1223977386230333,0.0275096636960366,significant_up,1.16277249654134,0.425715598504057,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01450,cheB,2.1160814845123443,2.579919983556325e-05,significant_up,-0.13432248433431,0.994344505317615,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_09200,clpS,-2.1088740988012646,3.579661764635627e-08,significant_down,-0.40007209777832,0.836461173501043,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_17580,,2.106494347580624,0.0008309805563113,significant_up,0.0250307718912768,0.994344505317615,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_06855,folX,-2.1054994637891866,1.1716959822478808e-05,significant_down,0.417515436808268,0.786027339549491,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_14895,,-2.102951067323992,0.0003444222013223,significant_down,0.102301915486654,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01825,glnK,-2.0992975354753267,0.2319255771524116,not_significant,0.465856552124028,0.734028335446378,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_02265,,-2.086441232442793,0.0007050439112245,significant_down,0.431319554646812,0.770558109862846,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05530,,2.076523422336681,4.05790332485779e-05,significant_up,0.749133427937823,0.27849111986039,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16900,,-2.064542043700345,0.037279918858336,significant_down,-0.533990224202476,0.909443259803012,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_17530,,-2.0580210038194733,0.0052677110556541,significant_down,0.22157669067383,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15985,,2.055408787725604,0.032959548721087,significant_up,0.279616673787438,0.938240965107968,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16165,,-2.051126606727836,0.000636946643404,significant_down,1.22753206888835,0.445809562075726,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05470,pspA,-2.050425702898838,0.0026746562833358,significant_down,-0.555118560791017,0.478492888474726,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_13225,pilV,-2.0460988947867222,0.0168666181420845,significant_down,0.580920537312827,0.743471987849068,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_18755,,-2.033632527751971,0.0020808698434298,significant_down,-0.172597885131837,0.971092374161081,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15890,pedH,2.018227859842215,0.0187298457226829,significant_up,0.269167582194013,0.943262415001188,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_17535,,-2.014346907606816,0.0089196913383092,significant_down,0.341075897216799,0.962111486115077,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_11990,,-2.009277393818302,1.1180224172725972e-05,significant_down,-0.0500322977701828,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_09105,,-2.003410432879788,0.0088816658523039,significant_down,-0.247016906738281,0.938240965107968,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_14625,mexF,-2.000905003073474,0.0066269903967647,significant_down,0.37651634216309,0.851601059618092,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_17965,fepA,-1.9926463511091888,0.070998763313055,not_significant,0.552725474039714,0.371548330316913,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16090,,1.9912512173473789,0.1420525773032258,not_significant,0.310256958007812,0.994344505317615,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_08770,rbfA,-1.989256561488228,0.0007681744065703,significant_down,-0.120683670043945,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15535,,-1.987386712565076,0.0002799222725922,significant_down,-0.320372899373373,0.918472198742528,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_09700,,-1.983441395088068,0.000821034648156,significant_down,0.135455449422201,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_17540,,-1.9402135859997909,2.494841360851331e-07,significant_down,0.209647496541342,0.938480092208952,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_11205,,-1.9327693223984528,0.0055420265546758,significant_down,1.10010592142741,0.693768383439704,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16305,,-1.923303207301846,0.0359440739753917,significant_down,-0.736871083577474,0.828662772076563,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_12950,sdh,-1.918681469743108,3.373720671875516e-06,significant_down,0.436819712320964,0.745340073488328,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_RS04395,,1.913933839518924,0.0001860938823278,significant_up,-0.58528645833333,0.693768383439704,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_08095,,1.9094680538886712,0.0071581495726408,significant_up,0.738934834798179,0.62076582226325,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01705,rplP,1.9055900296631767,0.0006217281142241,significant_up,-0.972784678141273,0.909443259803012,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_02315,nhaA,-1.890628941989284,0.0011339871871811,significant_down,0.941920598347979,0.333997785001805,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_03825,,-1.8795241582393587,1.1114191276568453e-05,significant_down,0.0552851359049469,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_10605,lolA,-1.878924911830737,7.465280358833476e-06,significant_down,-0.197804768880208,0.962111486115077,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_13220,pilW,-1.8684831465042988,0.0166189295564647,significant_down,0.6410026550293,0.620884724857249,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05725,pedE,1.8661558438215613,0.0601143990696242,not_significant,0.419216156005859,0.886464977274585,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_17440,,1.8609936735169144,0.0037699987423286,significant_up,-0.194860458374027,0.994344505317615,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15480,fumC,-1.8469972634733896,0.0069502605638154,significant_down,-0.15103594462077,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_18110,blc,-1.8252984735183475,0.0018005066726897,significant_down,0.0174172719319687,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_18945,hupA,-1.8251334812652624,0.0177517104307017,significant_down,0.356246948242182,0.850146045693452,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_07200,,1.820619005432584,0.0002932516197337,significant_up,0.66491063435872,0.279573178533523,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16170,,-1.8204252508193897,0.0088462675433573,significant_down,0.0401407877604207,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_07850,luxQ,-1.819220837065351,0.0035948083613789,significant_down,-0.0550556182861328,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16325,,-1.8153107677901985,0.0063173204472544,significant_down,0.285369237263993,0.938240965107968,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05480,pspC,-1.8142846581387424,0.0049336921170454,significant_down,-1.39661852518718,0.27849111986039,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_18705,,-1.814204332160782,4.369351831896421e-05,significant_down,0.358341852823893,0.745470491976882,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_14945,proC,-1.8115422207452123,0.0003645957518299,significant_down,-0.0770041147867799,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15430,,-1.798912671594476,1.561110607526624e-07,significant_down,0.0659427642822259,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01710,rpmC,1.7964951346039304,0.0006793184273456,significant_up,-0.0138015747070332,0.997826761424313,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_08510,,-1.794122620691141,0.0021641231996526,significant_down,0.521102905273438,0.606086049598866,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16890,,-1.7760560501168066,2.161673768401293e-06,significant_down,-0.15473747253418,0.971092374161081,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_17545,,-1.771043013502482,0.0006886839040153,significant_down,0.219672520955404,0.938240965107968,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_05720,pedD,1.7583532280599032,0.0326359489177268,significant_up,0.0692202250162762,0.994344505317615,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_RS17235,,1.756254119741457,0.0001580510799836,significant_up,-0.022169113159177,0.994344505317615,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15490,azu,-1.750871692336731,2.4200480813706814e-07,significant_down,0.543794631958008,0.513475348330621,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16675,apbE,-1.7427291518674446,0.0059286751158778,significant_down,0.327805201212566,0.671413549538639,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_07410,moxR,-1.73910648132556,0.0053343009688385,significant_down,-0.265087763468424,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_03145,,-1.7306779018310157,4.816639335845255e-05,significant_down,0.236527760823565,0.938240965107968,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_18290,hflK,-1.7090475248437462,0.0002953491774137,significant_down,0.26094881693522,0.909443259803012,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01690,rpsS,1.6938294681519457,0.0129159084056361,significant_up,-0.0260969797770159,0.994344505317615,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15720,,1.6928627309336317,0.0097183917816458,significant_up,0.614151636759441,0.446388896863531,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_12645,,-1.6920069064878558,0.0505989300002214,not_significant,-0.457583109537761,0.898724041961341,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_06985,dps,-1.6885848047564478,0.0865622143787684,not_significant,-0.0956198374430334,0.994344505317615,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15105,arsH,-1.6884403662255123,0.0660056311636669,not_significant,-0.211280822753908,0.938480092208952,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01675,rplD,1.6867734643838457,0.0120779085214166,significant_up,0.0954990386962837,0.994344505317615,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16130,,-1.6862494755769055,0.1669323040930934,not_significant,0.0655682881673163,0.994344505317615,not_significant,both_ns,both_ns
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_16875,,-1.6845209414176672,0.0019054926552804,significant_down,0.330034255981444,0.938240965107968,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_10295,phrB,-1.6824123152448405,9.222703318222417e-06,significant_down,-0.0818335215250653,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_15125,,-1.67589251095693,0.0004693650874493,significant_down,-0.275680541992188,0.911935211499559,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_08850,,-1.671289719553216,0.0242515659658861,significant_down,0.510478973388674,0.402109064211397,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_03330,,-1.6687952466297946,2.351414328691977e-07,significant_down,0.48319435119629,0.782626731837871,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_00430,,-1.6589002630975491,0.0178134204267034,significant_down,0.48641586303711,0.416079659957778,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_17465,,-1.6587298059236284,0.0035322107905206,significant_down,0.680702845255534,0.314974473801371,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_01695,rplV,1.6519129527040686,0.008631469742186,significant_up,-0.541006724039714,0.731394431362319,not_significant,rna_only_up,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_09205,clpA,-1.648968795693038,5.889301083177756e-11,significant_down,-0.621444066365559,0.534875176680841,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_12215,,-1.647137703402808,0.001735525274562,significant_down,0.13291041056315,0.994344505317615,not_significant,rna_only_down,asymmetric_sig
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,ACZ81_10410,uspE,-1.644287759565202,3.3988571578860584e-06,significant_down,0.354026158650714,0.921002247185279,not_significant,rna_only_down,asymmetric_sig
