locus_tag,gene_name,product,gene_category,annotation_quality,organism_name,annotation_types,expression_edge_count,significant_up_count,significant_down_count,closest_ortholog_group_size,closest_ortholog_genera,cluster_membership_count,cluster_types,numeric_metric_count,boolean_metric_count,categorical_metric_count,gene_summary,function_description,all_identifiers,numeric_metric_types_observed,boolean_metric_types_observed,categorical_metric_types_observed,compartments_observed,derived_metric_count,derived_metric_value_kinds,log2fc,padj,rank,rank_up,de_product,de_gene_category
PMM0687,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,19,9,2,12.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00687 | Q7V205 | TX50_RS03645 | WP_011132321.1,,,,,0,,4.0674889457570345,1.6181082973453386e-08,81,32,conserved hypothetical protein,Unknown
PMM1915,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | tigr_role,20,8,2,11.0,Prochlorococcus | Synechococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,A8WID4 | CK_Pro_MED4_01915 | TX50_RS09705 | WP_173028003.1,,,,,0,,4.02485471615402,6.624091119174213e-14,86,34,conserved hypothetical protein,Unknown
PMM1671,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,33,6,1,11.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01671 | Q7UZJ3 | TX50_RS08925 | WP_011133298.1,,,,,0,,3.9101776286002807,1.9294197274762718e-11,91,36,conserved hypothetical protein,Unknown
PMM1955,,Conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,,8,3,1,2.0,Prochlorococcus,1,condition_comparison,0,0,0,Conserved hypothetical protein :: -,,A8WIH2 | CK_Pro_MED4_01955 | TX50_RS09760 | WP_173028028.1,,,,,0,,3.876899592349444,0.0006659206357086,94,37,Conserved hypothetical protein,Unknown
PMM1037,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | tigr_role,16,4,5,10.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01037 | Q7V149 | TX50_RS05575 | WP_011132670.1,,,,,0,,3.727383062878376,7.811299452230525e-05,100,39,conserved hypothetical protein,Unknown
PMM1897,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,cyanorak_role | tigr_role,7,2,0,4.0,Prochlorococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: -,,CK_Pro_MED4_01897 | TX50_RS09655 | WP_173027983.1,,,,,0,,3.712726380044303,7.490734271087745e-10,102,40,conserved hypothetical protein,Unknown
PMM1863,,Conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,,7,2,0,1.0,Prochlorococcus,1,condition_comparison,0,0,0,Conserved hypothetical protein :: -,,CK_Pro_MED4_01863 | TX50_RS09425 | WP_157859387.1,,,,,0,,3.6876269063715865,5.577920353687883e-07,104,41,Conserved hypothetical protein,Unknown
PMM0334,,conserved hypothetical protein (DUF3104),Unknown,1,Prochlorococcus MED4,pfam | cog_category | cyanorak_role | tigr_role,27,7,2,18.0,Prochlorococcus | Synechococcus,4,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein (DUF3104) :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00334 | Q7V2W9 | TX50_RS01760 | WP_011131971.1,,,,,0,,3.6260850558508992,,109,44,conserved hypothetical protein (DUF3104),Unknown
PMM1024,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category,16,2,0,4.0,Prochlorococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01024 | TX50_RS05500 | WP_036930277.1,,,,,0,,3.4815856205704545,4.487142178490103e-07,123,50,conserved hypothetical protein,Unknown
PMM1873,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,tigr_role,11,5,1,10.0,Prochlorococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: -,,A8WI92 | CK_Pro_MED4_01873 | TX50_RS09625 | WP_173027974.1,,,,,0,,3.477704559348211,2.2180444276417053e-18,125,51,conserved hypothetical protein,Unknown
PMM1894,,Conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,,9,6,1,2.0,Prochlorococcus,1,condition_comparison,0,0,0,Conserved hypothetical protein :: -,,A8WIB3 | CK_Pro_MED4_01894 | TX50_RS04355 | WP_036930765.1,,,,,0,,3.4514826332421285,1.0892640063502951e-10,129,52,Conserved hypothetical protein,Unknown
PMM1312,yacL,uncharacterized conserved membrane TRAM and PIN domains containing protein,Unknown,1,Prochlorococcus MED4,go_mf | go_cc | pfam | cog_category | cyanorak_role | tigr_role,27,6,1,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,yacL :: uncharacterized conserved membrane TRAM and PIN domains containing protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01312 | Q7V0F3 | TX50_RS07040 | WP_011132946.1,,,,,0,,3.278629428535752,1.3812923675555894e-09,151,60,uncharacterized conserved membrane TRAM and PIN domains containing protein,Unknown
PMM1248,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,,24,4,0,1.0,Prochlorococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein,,CK_Pro_MED4_01248 | Q7V0K8 | TX50_RS06710 | WP_011132882.1,,,,,0,,3.263279008283139,1.7262662853470665e-07,153,61,conserved hypothetical protein,Unknown
PMM2013,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,cyanorak_role | tigr_role,12,10,1,1.0,Prochlorococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: -,,A8WIM9 | CK_Pro_MED4_02013 | TX50_RS09840 | WP_173028060.1,,,,,0,,3.206325577469096,4.379735299462413e-14,159,63,conserved hypothetical protein,Unknown
PMM1249,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,,16,1,0,1.0,Prochlorococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: -,,CK_Pro_MED4_01249 | Q7V0K7 | TX50_RS06715 | WP_011132883.1,,,,,0,,3.0936181251420507,1.1011981860852487e-16,168,64,conserved hypothetical protein,Unknown
PMM0351,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,cyanorak_role | tigr_role,25,2,1,6.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: -,,CK_Pro_MED4_00351 | Q7TUE8 | TX50_RS01860 | WP_011131988.1,,,,,0,,3.0689916006284714,4.050467599264882e-13,170,65,conserved hypothetical protein,Unknown
PMM1050,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,24,4,2,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01050 | Q7V136 | TX50_RS05645 | WP_011132683.1,,,,,0,,3.048310395769093,1.945278609831247e-12,173,66,conserved hypothetical protein,Unknown
PMM0347,,uncharacterized conserved membrane protein,Unknown,1,Prochlorococcus MED4,go_cc | cog_category | cyanorak_role | tigr_role,26,10,4,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,uncharacterized conserved membrane protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00347 | Q7V2V9 | TX50_RS01840 | WP_011131984.1,,,,,0,,2.951382820361075,9.245992156724114e-16,190,72,uncharacterized conserved membrane protein,Unknown
PMM1864,,Conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,,11,4,5,5.0,Prochlorococcus,1,condition_comparison,0,0,0,Conserved hypothetical protein :: -,,A8WI83 | CK_Pro_MED4_01864 | TX50_RS09610 | WP_173027968.1,,,,,0,,2.942626402248639,7.649291866827708e-06,192,73,Conserved hypothetical protein,Unknown
PMM0086,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,pfam | cog_category | tigr_role,20,6,0,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00086 | Q7V3I9 | TX50_RS00455 | WP_011131724.1,,,,,0,,2.877177702771692,2.6977589246745405e-06,203,75,conserved hypothetical protein,Unknown
PMM0698,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,20,7,1,4.0,Prochlorococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00698 | Q7V1Z6 | TX50_RS03725 | WP_011132332.1,,,,,0,,2.859368312038584,4.874659645182705e-12,207,76,conserved hypothetical protein,Unknown
PMM0338,,conserved hypothetical protein CHP03894,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,27,4,0,9.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,6,0,0,conserved hypothetical protein CHP03894 :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00338 | Q7V2W6 | TX50_RS01785 | WP_011131975.1,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric,2.8436643709563776,4.275419821725282e-09,210,78,conserved hypothetical protein CHP03894,Unknown
PMM2005,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,cyanorak_role | tigr_role,12,10,1,4.0,Prochlorococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: -,,A8WIM1 | CK_Pro_MED4_02005 | TX50_RS09830 | WP_173028055.1,,,,,0,,2.8293868084854266,2.385285787566309e-10,217,82,conserved hypothetical protein,Unknown
PMM0309,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,27,4,1,5.0,Prochlorococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00309 | Q7TUF6 | TX50_RS01600 | WP_011131946.1,,,,,0,,2.783164267328629,1.5097051462114e-09,229,87,conserved hypothetical protein,Unknown
TX50_RS09500,,hypothetical protein,Unknown,0,Prochlorococcus MED4,,7,6,0,,,0,,0,0,0,hypothetical protein,,WP_157859397.1,,,,,0,,2.701940566762947,4.509547775700791e-07,248,95,hypothetical protein,Unknown
PMM1910,,Conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category,11,9,1,5.0,Prochlorococcus,1,condition_comparison,1,0,0,Conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,A8WIC9 | CK_Pro_MED4_01910 | TX50_RS09690 | WP_173027997.1,vesicle_dna_avg_read_coverage,,,vesicle,1,numeric,2.580277331692581,3.5580371002181097e-06,269,102,Conserved hypothetical protein,Unknown
PMM0359,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,16,5,0,4.0,Prochlorococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00359 | TX50_RS09400 | WP_152556154.1,,,,,0,,2.5675697258211083,0.0323363588182722,272,103,conserved hypothetical protein,Unknown
PMM0360,,conserved hypothetical protein DUF985,Unknown,1,Prochlorococcus MED4,go_mf | pfam | cog_category | kegg | cyanorak_role | tigr_role,16,2,0,10.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein DUF985 :: Cupin superfamily (DUF985),Cupin superfamily (DUF985),CK_Pro_MED4_00360 | Q7V2V0 | TX50_RS01910 | WP_011131997.1,,,,,0,,2.56522114841542,5.792986085705021e-06,273,104,conserved hypothetical protein DUF985,Unknown
PMM1983,,uncharacterized conserved membrane protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,14,10,1,4.0,Prochlorococcus,1,condition_comparison,0,0,0,uncharacterized conserved membrane protein :: Alternative locus ID,Alternative locus ID,A8WIK0 | CK_Pro_MED4_01983 | TX50_RS07375 | WP_036930494.1,,,,,0,,2.555476185509782,5.758695288213317e-07,276,106,uncharacterized conserved membrane protein,Unknown
PMM1479,,Conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,pfam | cog_category | tigr_role,27,5,1,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,Conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01479 | Q7V012 | TX50_RS07945 | WP_011133107.1,,,,,0,,2.4676848364330675,8.403635899879941e-09,292,112,Conserved hypothetical protein,Unknown
PMM0975,,conserved hypothetical protein (DUF2862),Unknown,1,Prochlorococcus MED4,pfam | cog_category | cyanorak_role | tigr_role,38,5,1,7.0,Prochlorococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein (DUF2862) :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00975 | Q7V1A4 | TX50_RS05190 | WP_011132608.1,,,,,0,,2.4109045813818564,1.9945186059351146e-07,305,116,conserved hypothetical protein (DUF2862),Unknown
PMM0984,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,16,2,1,7.0,Prochlorococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00984 | Q7V195 | TX50_RS05245 | WP_011132617.1,,,,,0,,2.400888381797426,6.452958124137929e-09,308,117,conserved hypothetical protein,Unknown
PMM1134,,conserved hypothetical protein (DUF1651),Unknown,1,Prochlorococcus MED4,pfam | cog_category | cyanorak_role | tigr_role,20,10,3,4.0,Prochlorococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein (DUF1651) :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01134 | Q7TU71 | TX50_RS06105 | WP_011132767.1,,,,,0,,2.388567861059389,0.0012495667435204,313,119,conserved hypothetical protein (DUF1651),Unknown
PMM0938,,conserved hypothetical protein,Coenzyme metabolism,1,Prochlorococcus MED4,go_bp | go_mf | cog_category | tigr_role,24,6,1,8.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00938 | Q7TU93 | TX50_RS05000 | WP_011132571.1,,,,,0,,2.344727345296854,9.877451266515198e-08,324,122,conserved hypothetical protein,Coenzyme metabolism
PMM1283,,uncharacterized membrane protein,Stress response and adaptation,1,Prochlorococcus MED4,go_cc | pfam | cog_category | kegg | cyanorak_role | tigr_role,32,11,2,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,uncharacterized membrane protein :: Belongs to the BI1 family,Belongs to the BI1 family,CK_Pro_MED4_01283 | Q7V0H4 | TX50_RS06885 | WP_011132917.1,,,,,0,,2.336846603388784,1.9136104327442448e-11,325,123,uncharacterized membrane protein,Stress response and adaptation
PMM1588,,conserved hypothetical protein,Stress response and adaptation,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,33,4,2,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01588 | Q7TU26 | TX50_RS08500 | WP_011133216.1,,,,,0,,2.2757714841667105,1.7845464396412066e-16,337,129,conserved hypothetical protein,Stress response and adaptation
PMM1804,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | tigr_role,8,2,0,13.0,Prochlorococcus | Synechococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,A8WI07 | CK_Pro_MED4_01804 | TX50_RS09395 | WP_036930386.1,,,,,0,,2.2752631275457844,1.5924077149627605e-07,338,130,conserved hypothetical protein,Unknown
PMM1884,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,15,5,0,12.0,Prochlorococcus | Synechococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,A8WIA3 | CK_Pro_MED4_01884 | TX50_RS09285 | WP_036930793.1,,,,,0,,2.240652732160701,0.0005868838610402,346,134,conserved hypothetical protein,Unknown
PMM1919,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,8,3,4,13.0,Prochlorococcus | Synechococcus,1,condition_comparison,1,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,A8WID8 | CK_Pro_MED4_01919 | TX50_RS05185 | WP_036930310.1,vesicle_dna_avg_read_coverage,,,vesicle,1,numeric,2.227193732481097,0.0001351911009703,352,136,conserved hypothetical protein,Unknown
PMM1893,,Conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category,7,1,1,4.0,Prochlorococcus,1,condition_comparison,0,0,0,Conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,A8WIB2 | CK_Pro_MED4_01893 | TX50_RS09650 | WP_173027981.1,,,,,0,,2.147429465264081,8.591086051556395e-06,367,143,Conserved hypothetical protein,Unknown
PMM0731,,uncharacterized conserved membrane protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,21,7,3,4.0,Prochlorococcus,3,condition_comparison | diel | time_course,0,0,0,uncharacterized conserved membrane protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00731 | Q7V1W8 | TX50_RS03905 | WP_011132365.1,,,,,0,,2.1031547324493243,1.004595728429088e-06,380,147,uncharacterized conserved membrane protein,Unknown
PMM0369,,conserved hypothetical protein,Translation,1,Prochlorococcus MED4,cog_category | tigr_role,16,2,0,9.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00369 | TX50_RS01965 | WP_036930922.1,,,,,0,,2.0662943513144074,0.0013320485074395,391,153,conserved hypothetical protein,Translation
PMM1043,,uncharacterized conserved secreted protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,16,2,1,6.0,Prochlorococcus,2,condition_comparison | diel,0,0,0,uncharacterized conserved secreted protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01043 | Q7V143 | TX50_RS05605 | WP_011132676.1,,,,,0,,2.0643817955354584,0.0107301354874713,392,154,uncharacterized conserved secreted protein,Unknown
PMM1870,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,cyanorak_role | tigr_role,11,3,5,4.0,Prochlorococcus,1,condition_comparison,0,0,0,conserved hypothetical protein :: -,,A8WI89 | CK_Pro_MED4_01870 | TX50_RS09620 | WP_173027972.1,,,,,0,,2.0574953528332585,0.0035101541795373,395,156,conserved hypothetical protein,Unknown
PMM0810,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,37,10,0,6.0,Prochlorococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00810 | Q7V1P7 | TX50_RS04325 | WP_011132444.1,,,,,0,,2.035413432007069,1.533046546394076e-05,398,157,conserved hypothetical protein,Unknown
PMM1013,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,24,9,0,12.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_01013 | Q7V170 | TX50_RS05425 | WP_011132645.1,,,,,0,,2.0143684027383726,9.001421665896048e-06,405,161,conserved hypothetical protein,Unknown
PMM1238,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,pfam | cog_category | tigr_role,24,1,1,2.0,Prochlorococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: Aminoglycoside phosphotransferase,Aminoglycoside phosphotransferase,CK_Pro_MED4_01238 | Q7V0L8 | TX50_RS06665 | WP_011132872.1,,,,,0,,1.9983374606964213,0.0004171620668984,410,165,conserved hypothetical protein,Unknown
PMM0726,,uncharacterized conserved secreted protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,19,7,0,4.0,Prochlorococcus,3,condition_comparison | diel | time_course,0,0,0,uncharacterized conserved secreted protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00726 | Q7V1X2 | TX50_RS03880 | WP_011132360.1,,,,,0,,1.9839051204954696,0.0004126835371696,418,169,uncharacterized conserved secreted protein,Unknown
PMM0237,,conserved hypothetical protein,Cell wall and membrane,1,Prochlorococcus MED4,pfam | cog_category,27,3,0,4.0,Prochlorococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00237 | TX50_RS01230 | WP_225866760.1,,,,,0,,1.9695121544855272,5.312739397019732e-06,426,172,conserved hypothetical protein,Cell wall and membrane
