ontology_type,level,n_terms_with_genes,n_genes_at_level,genome_coverage,min_genes_per_term,q1_genes_per_term,median_genes_per_term,q3_genes_per_term,max_genes_per_term,n_levels_in_ontology,best_effort_share,min_exp_coverage,median_exp_coverage,max_exp_coverage,n_experiments_with_coverage,relevance_rank,tree,tree_code,organism
brite,0,2,65,0.03309572301425662,36,42.75,49.5,56.25,63,26,,0.532133676092545,0.532133676092545,0.532133676092545,1,14,trna_biogenesis,ko03016,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,0,3,36,0.018329938900203666,7,10.5,14.0,14.5,15,26,,0.532133676092545,0.532133676092545,0.532133676092545,1,15,peptidases,ko01002,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,0,3,24,0.012219959266802444,5,5.5,6.0,9.5,13,26,,0.532133676092545,0.532133676092545,0.532133676092545,1,16,chaperones,ko03110,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,0,1,20,0.010183299389002037,20,20.0,20.0,20.0,20,26,,0.532133676092545,0.532133676092545,0.532133676092545,1,17,dna_replication,ko03032,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,0,2,16,0.008146639511201629,11,11.75,12.5,13.25,14,26,,0.532133676092545,0.532133676092545,0.532133676092545,1,18,translation_factors,ko03012,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,0,1,9,0.004582484725050916,9,9.0,9.0,9.0,9,26,,0.532133676092545,0.532133676092545,0.532133676092545,1,19,secretion,ko02044,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,0,1,8,0.004073319755600814,8,8.0,8.0,8.0,8,26,,0.532133676092545,0.532133676092545,0.532133676092545,1,20,transcription_factors,ko03000,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
kegg,0,5,285,0.14511201629327902,31,49.0,49.0,70.0,160,3,,0.519280205655527,0.519280205655527,0.519280205655527,1,21,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,0,1,52,0.026476578411405296,52,52.0,52.0,52.0,52,26,,0.532133676092545,0.532133676092545,0.532133676092545,1,22,ribosome,ko03011,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
kegg,1,30,753,0.3834012219959267,5,12.0,26.5,42.0,157,3,,0.5089974293059126,0.5089974293059126,0.5089974293059126,1,23,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
kegg,2,94,738,0.3757637474541752,5,7.0,12.0,19.75,260,3,,0.4730077120822622,0.4730077120822622,0.4730077120822622,1,24,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_mf,4,84,946,0.4816700610997963,5,9.0,15.0,24.25,308,7,0.20238095238095238,0.4704370179948586,0.4704370179948586,0.4704370179948586,1,25,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_cc,2,20,781,0.39765784114052954,5,11.75,27.5,129.25,426,6,0.4,0.42159383033419023,0.42159383033419023,0.42159383033419023,1,26,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
ec,1,35,748,0.38085539714867617,5,8.5,17.0,33.5,91,4,,0.4138817480719794,0.4138817480719794,0.4138817480719794,1,27,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,1,33,614,0.31262729124236255,5,7.0,14.0,26.0,75,26,,0.40102827763496146,0.40102827763496146,0.40102827763496146,1,28,enzymes,ko01000,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,1,6,64,0.032586558044806514,6,9.5,11.5,12.0,15,26,,0.40102827763496146,0.40102827763496146,0.40102827763496146,1,29,transporters,ko02000,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,1,5,61,0.031059063136456212,5,12.0,20.0,21.0,34,26,,0.40102827763496146,0.40102827763496146,0.40102827763496146,1,30,trna_biogenesis,ko03016,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,1,2,16,0.008146639511201629,6,7.0,8.0,9.0,10,26,,0.40102827763496146,0.40102827763496146,0.40102827763496146,1,31,dna_replication,ko03032,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,1,1,9,0.004582484725050916,9,9.0,9.0,9.0,9,26,,0.40102827763496146,0.40102827763496146,0.40102827763496146,1,32,secretion,ko02044,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,1,1,7,0.003564154786150713,7,7.0,7.0,7.0,7,26,,0.40102827763496146,0.40102827763496146,0.40102827763496146,1,33,translation_factors,ko03012,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,1,1,6,0.003054989816700611,6,6.0,6.0,6.0,6,26,,0.40102827763496146,0.40102827763496146,0.40102827763496146,1,34,transcription_factors,ko03000,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,1,1,5,0.0025458248472505093,5,5.0,5.0,5.0,5,26,,0.40102827763496146,0.40102827763496146,0.40102827763496146,1,35,peptidases,ko01002,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,1,3,52,0.026476578411405296,30,41.0,52.0,52.0,52,26,,0.40102827763496146,0.40102827763496146,0.40102827763496146,1,36,ribosome,ko03011,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,0,7,656,0.3340122199592668,32,64.0,73.0,106.5,236,26,,0.532133676092545,0.532133676092545,0.532133676092545,1,37,enzymes,ko01000,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_bp,6,102,625,0.3182281059063136,5,6.0,10.0,23.75,167,9,0.7450980392156863,0.3444730077120823,0.3444730077120823,0.3444730077120823,1,38,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
ec,0,7,819,0.4170061099796334,56,65.0,82.0,159.5,293,4,,0.5347043701799485,0.5347043701799485,0.5347043701799485,1,39,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
pfam,0,78,854,0.434826883910387,5,6.0,8.0,11.75,149,2,,0.31876606683804626,0.31876606683804626,0.31876606683804626,1,40,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_mf,5,46,643,0.3273930753564155,5,7.25,10.0,19.0,231,7,0.2826086956521739,0.31876606683804626,0.31876606683804626,0.31876606683804626,1,41,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,2,43,492,0.2505091649694501,5,6.0,9.0,15.0,35,26,,0.2236503856041131,0.2236503856041131,0.2236503856041131,1,42,enzymes,ko01000,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,2,6,52,0.026476578411405296,15,16.75,22.0,28.0,30,26,,0.2236503856041131,0.2236503856041131,0.2236503856041131,1,43,ribosome,ko03011,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,2,6,45,0.022912423625254582,5,8.25,9.5,14.5,19,26,,0.2236503856041131,0.2236503856041131,0.2236503856041131,1,44,trna_biogenesis,ko03016,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,2,2,16,0.008146639511201629,6,7.0,8.0,9.0,10,26,,0.2236503856041131,0.2236503856041131,0.2236503856041131,1,45,dna_replication,ko03032,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,2,2,11,0.00560081466395112,5,5.25,5.5,5.75,6,26,,0.2236503856041131,0.2236503856041131,0.2236503856041131,1,46,transporters,ko02000,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
ec,2,54,620,0.31568228105906315,5,6.25,9.0,16.0,45,4,,0.18251928020565553,0.18251928020565553,0.18251928020565553,1,47,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_bp,7,49,292,0.14867617107942974,5,6.0,9.0,16.0,54,9,0.7959183673469388,0.16966580976863754,0.16966580976863754,0.16966580976863754,1,48,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_cc,3,38,366,0.18635437881873726,5,8.0,11.5,26.25,176,6,0.6842105263157895,0.15167095115681234,0.15167095115681234,0.15167095115681234,1,49,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_mf,6,13,241,0.12270875763747455,5,5.0,8.0,24.0,80,7,0.3076923076923077,0.13624678663239073,0.13624678663239073,0.13624678663239073,1,50,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
cyanorak_role,2,20,311,0.15835030549898166,5,6.75,13.0,26.5,55,3,,0.11825192802056556,0.11825192802056556,0.11825192802056556,1,51,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_cc,4,25,241,0.12270875763747455,5,8.0,14.0,29.0,168,6,0.84,0.11053984575835475,0.11053984575835475,0.11053984575835475,1,52,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_cc,5,8,192,0.09775967413441955,7,8.0,12.0,25.5,89,6,0.5,0.08997429305912596,0.08997429305912596,0.08997429305912596,1,53,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_bp,8,24,135,0.06873727087576374,5,5.0,7.0,12.75,36,9,0.75,0.08997429305912596,0.08997429305912596,0.08997429305912596,1,54,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_cc,1,1,276,0.14052953156822812,276,276.0,276.0,276.0,276,6,0.0,0.42930591259640105,0.42930591259640105,0.42930591259640105,1,55,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_mf,7,5,82,0.04175152749490835,5,10.0,11.0,17.0,40,7,0.0,0.033419023136246784,0.033419023136246784,0.033419023136246784,1,56,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
ec,3,11,72,0.03665987780040733,5,5.0,6.0,9.5,16,4,,0.012853470437017995,0.012853470437017995,0.012853470437017995,1,57,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,3,4,32,0.016293279022403257,5,5.0,6.0,9.0,15,26,,0.012853470437017995,0.012853470437017995,0.012853470437017995,1,58,enzymes,ko01000,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
brite,3,1,6,0.003054989816700611,6,6.0,6.0,6.0,6,26,,0.012853470437017995,0.012853470437017995,0.012853470437017995,1,59,dna_replication,ko03032,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
pfam,1,50,290,0.14765784114052954,5,5.0,6.0,7.0,26,2,,0.0,0.0,0.0,0,60,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_cc,6,2,45,0.022912423625254582,13,17.75,22.5,27.25,32,6,0.0,0.0,0.0,0.0,0,61,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
go_bp,9,1,5,0.0025458248472505093,5,5.0,5.0,5.0,5,9,1.0,0.0,0.0,0.0,0,62,,,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120)
