ontology_type,level,n_terms_with_genes,n_genes_at_level,genome_coverage,min_genes_per_term,q1_genes_per_term,median_genes_per_term,q3_genes_per_term,max_genes_per_term,n_levels_in_ontology,best_effort_share,min_exp_coverage,median_exp_coverage,max_exp_coverage,n_experiments_with_coverage,relevance_rank,tree,tree_code,organism
pfam,0,77,864,0.43724696356275305,5,6.0,7.0,11.0,146,2,,0.21212121212121213,0.4984709480122324,0.5407303370786517,13,20,,,Prochlorococcus MED4
brite,0,1,54,0.027327935222672066,54,54.0,54.0,54.0,54,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,21,ribosome,ko03011,Prochlorococcus MED4
brite,1,34,627,0.3173076923076923,5,7.0,14.0,27.0,77,26,,0.1111111111111111,0.4631703005303477,0.5718654434250765,13,22,enzymes,ko01000,Prochlorococcus MED4
brite,1,7,75,0.03795546558704453,6,8.5,12.0,12.5,16,26,,0.1111111111111111,0.4631703005303477,0.5718654434250765,13,23,transporters,ko02000,Prochlorococcus MED4
brite,1,5,61,0.030870445344129555,5,12.0,19.0,20.0,35,26,,0.1111111111111111,0.4631703005303477,0.5718654434250765,13,24,trna_biogenesis,ko03016,Prochlorococcus MED4
brite,1,2,18,0.009109311740890687,6,7.5,9.0,10.5,12,26,,0.1111111111111111,0.4631703005303477,0.5718654434250765,13,25,dna_replication,ko03032,Prochlorococcus MED4
brite,1,1,9,0.004554655870445344,9,9.0,9.0,9.0,9,26,,0.1111111111111111,0.4631703005303477,0.5718654434250765,13,26,secretion,ko02044,Prochlorococcus MED4
brite,1,1,7,0.00354251012145749,7,7.0,7.0,7.0,7,26,,0.1111111111111111,0.4631703005303477,0.5718654434250765,13,27,translation_factors,ko03012,Prochlorococcus MED4
brite,1,1,7,0.00354251012145749,7,7.0,7.0,7.0,7,26,,0.1111111111111111,0.4631703005303477,0.5718654434250765,13,28,transcription_factors,ko03000,Prochlorococcus MED4
go_cc,2,18,791,0.40030364372469635,6,13.5,39.0,148.25,432,6,0.3888888888888889,0.4186046511627907,0.4560989982321744,0.6513761467889908,13,29,,,Prochlorococcus MED4
ec,1,34,763,0.3861336032388664,5,9.25,17.0,34.5,91,4,,0.18181818181818182,0.44843842074248674,0.5229357798165137,13,30,,,Prochlorococcus MED4
kegg,1,30,763,0.3861336032388664,5,11.0,28.0,45.25,164,3,,0.3787878787878788,0.4478491455509723,0.691131498470948,13,31,,,Prochlorococcus MED4
kegg,2,97,744,0.3765182186234818,5,7.0,12.0,18.0,254,3,,0.35353535353535354,0.436652916912198,0.6666666666666666,13,32,,,Prochlorococcus MED4
brite,1,3,54,0.027327935222672066,30,42.0,54.0,54.0,54,26,,0.1111111111111111,0.4631703005303477,0.5718654434250765,13,33,ribosome,ko03011,Prochlorococcus MED4
go_mf,5,44,631,0.319331983805668,5,7.0,10.0,19.25,225,7,0.29545454545454547,0.25757575757575757,0.37065409546258105,0.4617737003058104,13,34,,,Prochlorococcus MED4
go_bp,6,104,618,0.31275303643724695,5,6.0,9.0,23.25,163,9,0.7403846153846154,0.2676767676767677,0.3606364172068356,0.4525993883792049,13,35,,,Prochlorococcus MED4
brite,2,45,506,0.2560728744939271,5,6.0,9.0,13.0,33,26,,0.025252525252525252,0.34885091337654683,0.386938202247191,13,36,enzymes,ko01000,Prochlorococcus MED4
brite,2,6,54,0.027327935222672066,15,17.0,23.0,29.0,31,26,,0.025252525252525252,0.34885091337654683,0.386938202247191,13,37,ribosome,ko03011,Prochlorococcus MED4
brite,2,6,44,0.022267206477732792,5,8.0,9.0,14.5,18,26,,0.025252525252525252,0.34885091337654683,0.386938202247191,13,38,trna_biogenesis,ko03016,Prochlorococcus MED4
brite,2,2,16,0.008097165991902834,6,7.0,8.0,9.0,10,26,,0.025252525252525252,0.34885091337654683,0.386938202247191,13,39,dna_replication,ko03032,Prochlorococcus MED4
brite,2,3,16,0.008097165991902834,5,5.0,5.0,5.5,6,26,,0.025252525252525252,0.34885091337654683,0.386938202247191,13,40,transporters,ko02000,Prochlorococcus MED4
ec,2,55,626,0.3168016194331984,5,6.0,9.0,16.0,48,4,,0.025252525252525252,0.33856138453217954,0.40519662921348315,13,41,,,Prochlorococcus MED4
brite,0,7,668,0.33805668016194335,32,65.5,77.0,110.5,237,26,,0.35858585858585856,0.5091337654684738,0.7492354740061162,13,42,enzymes,ko01000,Prochlorococcus MED4
ec,0,7,828,0.4190283400809717,55,66.0,80.0,168.0,294,4,,0.3920653442240373,0.48674130819092515,0.6452599388379205,13,43,,,Prochlorococcus MED4
go_bp,2,28,422,0.21356275303643724,5,9.0,19.0,38.5,118,9,0.25,0.22282314764737696,0.2451384796700059,0.9021406727828746,13,44,,,Prochlorococcus MED4
go_cc,3,34,353,0.17864372469635628,5,7.0,11.5,35.75,169,6,0.6470588235294118,0.1717171717171717,0.20565704183853858,0.25688073394495414,13,45,,,Prochlorococcus MED4
go_mf,1,11,336,0.1700404858299595,6,11.0,17.0,48.0,120,7,0.0,0.18171984856679285,0.1974071891573365,0.908256880733945,13,46,,,Prochlorococcus MED4
go_bp,1,8,332,0.1680161943319838,5,6.0,15.0,101.75,152,9,0.125,0.1752298539751217,0.19369894982497082,0.9051987767584098,13,47,,,Prochlorococcus MED4
cyanorak_role,2,21,335,0.1695344129554656,5,7.0,13.0,26.0,51,3,,0.1743119266055046,0.1932822628167354,0.23232323232323232,13,48,,,Prochlorococcus MED4
pfam,1,63,344,0.17408906882591094,5,5.0,6.0,7.0,27,2,,0.03535353535353535,0.17901568415359653,0.2071629213483146,13,49,,,Prochlorococcus MED4
go_bp,7,47,287,0.14524291497975708,5,7.0,9.0,17.5,50,9,0.7872340425531915,0.05555555555555555,0.16853270477312904,0.24770642201834864,13,50,,,Prochlorococcus MED4
kegg,0,5,295,0.1492914979757085,33,48.0,52.0,81.0,161,3,,0.159545700378583,0.17383618149675897,0.709480122324159,13,51,,,Prochlorococcus MED4
go_mf,6,10,230,0.11639676113360324,5,6.0,13.5,32.5,80,7,0.4,0.09595959595959595,0.13494401885680612,0.19877675840978593,13,52,,,Prochlorococcus MED4
go_cc,4,20,226,0.11437246963562753,5,8.5,15.0,31.0,156,6,0.8,0.11616161616161616,0.13081909251620508,0.20795107033639143,13,53,,,Prochlorococcus MED4
go_cc,5,6,182,0.09210526315789473,8,10.75,15.5,47.25,76,6,0.3333333333333333,0.08080808080808081,0.10489098408956983,0.17036172695449242,13,54,,,Prochlorococcus MED4
go_bp,8,24,136,0.06882591093117409,5,6.0,7.5,13.5,37,9,0.75,0.030303030303030304,0.08014142604596347,0.11009174311926606,13,55,,,Prochlorococcus MED4
go_mf,7,6,88,0.044534412955465584,6,8.0,8.5,15.0,42,7,0.0,0.025252525252525252,0.05126694166175604,0.0672782874617737,13,56,,,Prochlorococcus MED4
ec,3,11,73,0.03694331983805668,5,5.0,6.0,9.5,16,4,,0.0,0.03948080043266631,0.043173862310385065,12,57,,,Prochlorococcus MED4
go_cc,1,1,257,0.13006072874493926,257,257.0,257.0,257.0,257,6,0.0,0.13845321795565171,0.14908662345315263,0.6574923547400612,13,58,,,Prochlorococcus MED4
go_cc,6,2,44,0.022267206477732792,13,17.5,22.0,26.5,31,6,0.0,0.023255813953488372,0.025338833235120803,0.04892966360856269,13,59,,,Prochlorococcus MED4
brite,3,4,33,0.016700404858299597,5,5.75,6.5,9.0,15,26,,0.0,0.019253208868144692,0.020365168539325844,10,60,enzymes,ko01000,Prochlorococcus MED4
brite,3,1,6,0.003036437246963563,6,6.0,6.0,6.0,6,26,,0.0,0.019253208868144692,0.020365168539325844,10,61,dna_replication,ko03032,Prochlorococcus MED4
go_bp,9,1,7,0.00354251012145749,7,7.0,7.0,7.0,7,9,1.0,0.0,0.0037858301784748512,0.007001166861143524,10,62,,,Prochlorococcus MED4
