group_id,organism_name,locus_tag,gene_name,product,gene_category
eggnog:1G0K2@1117,Synechococcus WH7803,SynWH7803_2485,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism
eggnog:1G0K2@1117,Synechococcus WH8102,SYNW2469,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism
eggnog:1G0K2@1117,Synechococcus elongatus PCC 7942,H6G84_08550,H6G84_RS08550,molybdopterin molybdotransferase MoeA,Coenzyme metabolism
eggnog:1G0K2@1117,Synechococcus elongatus UTEX 2973,M744_10195,moeA,molybdopterin molybdotransferase MoeA,Coenzyme metabolism
eggnog:1G0K2@1117,Synechococcus sp. BL107,BL107_06869,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism
eggnog:1G0K2@1117,Thermosynechococcus vestitus BP-1,tll1364,moeA,molybdopterin molybdotransferase MoeA,Coenzyme metabolism
eggnog:1G0NY@1117,Synechococcus CC9311,sync_2887,nrtP,nitrate transporter,Stress response and adaptation
eggnog:1G0NY@1117,Synechococcus PCC 7002,SYNPCC7002_A1313,ntrP,MFS transporter,Inorganic ion transport
eggnog:1G0NY@1117,Synechococcus WH7803,SynWH7803_2480,nrtP,nitrate transporter,Stress response and adaptation
eggnog:1G0NY@1117,Synechococcus sp. BL107,BL107_06904,nrtP,nitrate transporter,Stress response and adaptation
eggnog:1G0QD@1117,Prochlorococcus AS9601,A9601_08861,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation
eggnog:1G0QD@1117,Prochlorococcus MED4,PMM0972,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation
eggnog:1G0QD@1117,Prochlorococcus MIT0801,EW15_1978,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation
eggnog:1G0QD@1117,Prochlorococcus MIT9301,P9301_08841,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation
eggnog:1G0QD@1117,Prochlorococcus MIT9312,PMT9312_0827,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation
eggnog:1G0QD@1117,Prochlorococcus NATL1A,NATL1_19171,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation
eggnog:1G0QD@1117,Prochlorococcus NATL2A,PMN2A_1046,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation
eggnog:1G0QD@1117,Prochlorococcus RSP50,BSR22_07385,urtC,urea ABC transporter permease subunit UrtC,Amino acid metabolism
eggnog:1G0QD@1117,Synechococcus CC9311,sync_2870,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation
eggnog:1G0QD@1117,Synechococcus PCC 7002,SYNPCC7002_A0396,urtC,urea ABC transporter permease subunit UrtC,Inorganic ion transport
eggnog:1G0QD@1117,Synechococcus WH8102,SYNW2440,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation
eggnog:1G0QD@1117,Synechococcus sp. BL107,BL107_06999,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation
eggnog:1G0QD@1117,Thermosynechococcus vestitus BP-1,tlr1122,urtC,urea ABC transporter permease subunit UrtC,Amino acid metabolism
eggnog:1G0S8@1117,Prochlorococcus MIT9303,P9303_24801,amt1,ammonium transporter,Central intermediary metabolism
eggnog:1G0S8@1117,Prochlorococcus MIT9313,PMT1853,amt1,ammonium transporter,Central intermediary metabolism
eggnog:1G0S8@1117,Synechococcus CC9311,sync_0293,amt1,ammonium transporter,Central intermediary metabolism
eggnog:1G0S8@1117,Synechococcus PCC 7002,SYNPCC7002_A1070,amt,ammonium transporter,Inorganic ion transport
eggnog:1G0S8@1117,Synechococcus PCC 7002,SYNPCC7002_A2208,amt1,ammonium transporter,Inorganic ion transport
eggnog:1G0S8@1117,Synechococcus PCC 7002,SYNPCC7002_A2754,amt1,ammonium transporter,Inorganic ion transport
eggnog:1G0S8@1117,Synechococcus WH7803,SynWH7803_0297,amt1,ammonium transporter,Central intermediary metabolism
eggnog:1G0S8@1117,Synechococcus WH8102,SYNW0253,amt1,ammonium transporter,Central intermediary metabolism
eggnog:1G0S8@1117,Synechococcus elongatus PCC 7942,H6G84_05550,H6G84_RS05550,ammonium transporter,Inorganic ion transport
eggnog:1G0S8@1117,Synechococcus elongatus UTEX 2973,M744_00755,amt1,ammonium transporter,Inorganic ion transport
eggnog:1G0S8@1117,Synechococcus sp. BL107,BL107_05259,amt1,ammonium transporter,Central intermediary metabolism
eggnog:1G0S8@1117,Thermosynechococcus vestitus BP-1,tll0188,amt1,ammonium transporter,Inorganic ion transport
eggnog:1G0S8@1117,Thermosynechococcus vestitus BP-1,tll1985,amt1,ammonium transporter,Inorganic ion transport
eggnog:1G0UF@1117,Prochlorococcus AS9601,A9601_08841,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Prochlorococcus MED4,PMM0974,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Prochlorococcus MIT0801,EW15_1976,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Prochlorococcus MIT9301,P9301_08821,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Prochlorococcus MIT9303,P9303_29701,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Prochlorococcus MIT9312,PMT9312_0825,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Prochlorococcus MIT9313,PMT2225,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Prochlorococcus NATL1A,NATL1_19151,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Prochlorococcus NATL2A,PMN2A_1044,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Prochlorococcus RSP50,BSR22_07375,urtE,urea ABC transporter ATP-binding subunit UrtE,Amino acid metabolism
eggnog:1G0UF@1117,Synechococcus CC9311,sync_2868,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Synechococcus PCC 7002,SYNPCC7002_A1627,urtE,urea ABC transporter ATP-binding subunit UrtE,Amino acid metabolism
eggnog:1G0UF@1117,Synechococcus WH8102,SYNW2438,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Synechococcus sp. BL107,BL107_07009,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation
eggnog:1G0UF@1117,Thermosynechococcus vestitus BP-1,tlr1124,urtE,urea ABC transporter ATP-binding subunit UrtE,Amino acid metabolism
eggnog:1G0VS@1117,Synechococcus CC9311,sync_2885,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism
eggnog:1G0VS@1117,Synechococcus PCC 7002,SYNPCC7002_A1361,moaA,"GTP 3^,8-cyclase MoaA",Coenzyme metabolism
eggnog:1G0VS@1117,Synechococcus WH7803,SynWH7803_2478,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism
eggnog:1G0VS@1117,Synechococcus WH8102,SYNW2460,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism
eggnog:1G0VS@1117,Synechococcus elongatus PCC 7942,H6G84_08570,moaA,"GTP 3^,8-cyclase MoaA",Coenzyme metabolism
eggnog:1G0VS@1117,Synechococcus elongatus UTEX 2973,M744_10215,moaA,"GTP 3^,8-cyclase MoaA",Coenzyme metabolism
eggnog:1G0VS@1117,Synechococcus sp. BL107,BL107_06914,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism
eggnog:1G0VS@1117,Thermosynechococcus vestitus BP-1,tll1363,moaA,"GTP 3^,8-cyclase MoaA",Coenzyme metabolism
eggnog:1G0XM@1117,Prochlorococcus AS9601,A9601_17161,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Prochlorococcus MED4,PMM1512,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Prochlorococcus MIT0801,EW15_2017,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Prochlorococcus MIT9301,P9301_17041,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Prochlorococcus MIT9303,P9303_23581,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Prochlorococcus MIT9312,PMT9312_1604,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Prochlorococcus MIT9313,PMT1777,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Prochlorococcus NATL1A,NATL1_19531,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Prochlorococcus NATL2A,PMN2A_1078,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Prochlorococcus RSP50,BSR22_02020,gltB,glutamate synthase large subunit,Amino acid metabolism
eggnog:1G0XM@1117,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1668,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Synechococcus CC9311,sync_0387,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Synechococcus PCC 7002,SYNPCC7002_A2393,gltB,glutamate synthase large subunit,Amino acid metabolism
eggnog:1G0XM@1117,Synechococcus WH7803,SynWH7803_0385,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Synechococcus WH8102,SYNW2132,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Synechococcus elongatus PCC 7942,H6G84_11885,gltB,glutamate synthase large subunit,Amino acid metabolism
eggnog:1G0XM@1117,Synechococcus elongatus UTEX 2973,M744_12285,gltB,glutamate synthase large subunit,Amino acid metabolism
eggnog:1G0XM@1117,Synechococcus sp. BL107,BL107_08289,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation
eggnog:1G0XM@1117,Thermosynechococcus vestitus BP-1,tll1368,glsF,glutamate synthase-related protein,Amino acid metabolism
eggnog:1G0Z6@1117,Prochlorococcus MIT0801,EW15_2256,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Prochlorococcus MIT9303,P9303_29861,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Prochlorococcus MIT9313,PMT2239,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Prochlorococcus NATL1A,NATL1_21711,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Prochlorococcus NATL2A,PMN2A_1298,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Prochlorococcus NATL2A,PMN2A_RS10340,nirA,ferredoxin--nitrite reductase,Energy production
eggnog:1G0Z6@1117,Synechococcus CC9311,sync_2898,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Synechococcus PCC 7002,SYNPCC7002_A1827,nirA,ferredoxin--nitrite reductase,Energy production
eggnog:1G0Z6@1117,Synechococcus WH7803,SynWH7803_2492,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Synechococcus WH8102,SYNW2477,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Synechococcus elongatus PCC 7942,H6G84_08785,H6G84_RS08785,ferredoxin--nitrite reductase,Energy production
eggnog:1G0Z6@1117,Synechococcus elongatus UTEX 2973,M744_10440,nirA,ferredoxin--nitrite reductase,Energy production
eggnog:1G0Z6@1117,Synechococcus sp. BL107,BL107_06834,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Thermosynechococcus vestitus BP-1,tlr1349,nirA,ferredoxin--nitrite reductase,Energy production
eggnog:1G0ZS@1117,Prochlorococcus MIT0801,EW15_2258,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Prochlorococcus MIT9303,P9303_29881,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Prochlorococcus MIT9313,PMT2240,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Prochlorococcus NATL1A,NATL1_21721,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Prochlorococcus NATL2A,PMN2A_1299,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Synechococcus CC9311,sync_2899,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Synechococcus PCC 7002,SYNPCC7002_A0125,,formate/nitrite transporter family protein,Inorganic ion transport
eggnog:1G0ZS@1117,Synechococcus WH7803,SynWH7803_2493,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus AS9601,A9601_08921,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MED4,PMM0966,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MIT0801,EW15_1984,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MIT9301,P9301_08901,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MIT9303,P9303_29781,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MIT9312,PMT9312_0833,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MIT9313,PMT2233,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus NATL1A,NATL1_19231,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus NATL2A,PMN2A_1052,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus RSP50,BSR22_07415,ureD,urease accessory protein UreD,Post-translational modification
eggnog:1G10F@1117,Synechococcus CC9311,sync_2876,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Synechococcus PCC 7002,SYNPCC7002_A2123,ureD,urease accessory protein UreD,Post-translational modification
eggnog:1G10F@1117,Synechococcus WH8102,SYNW2446,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Synechococcus sp. BL107,BL107_06969,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Thermosynechococcus vestitus BP-1,tlr0536,ureD,urease accessory protein UreD,Post-translational modification
eggnog:1G12D@1117,Prochlorococcus AS9601,A9601_08951,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MED4,PMM0963,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MIT0801,EW15_1987,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MIT9301,P9301_08931,ureC,urease alpha subunit,Stress response and adaptation
