strain,organism_name_kg,locus_tag,gene_name,product,gene_category,term_id
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_1556,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_1604,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_1661,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0248,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0265,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0402,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0403,,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0404,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0642,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0825,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0826,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0827,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0828,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0829,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0830,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0831,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0832,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0833,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0834,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0835,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0836,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0848,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_0880,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_1556,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_1604,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_1661,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Prochlorococcus MIT9312,Prochlorococcus MIT9312,PMT9312_1762,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT1481,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT1719,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT1777,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT1831,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2200,ntrX,nitrogen assimilation regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2225,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2226,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2227,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2228,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2229,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2230,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2231,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2232,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2233,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2234,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2235,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2236,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2239,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2240,focA,"nitrite transporter, FNT family",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT0224,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT0225,,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT0226,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT0601,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT0653,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT0875,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT1481,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT1719,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT1777,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT1831,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT1853,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2171,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2200,ntrX,nitrogen assimilation regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2225,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2226,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2227,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2228,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2229,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2230,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2231,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2232,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2233,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2234,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2235,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2236,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus MIT9313,Prochlorococcus MIT9313,PMT2239,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_03241,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_12251,,nitroreductase family protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_18621,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19151,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19161,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19171,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19181,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19191,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19201,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19211,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19221,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19231,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19241,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19251,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19261,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19531,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_20151,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_21711,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_21721,focA,"nitrite transporter, FNT family",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_00701,cynS,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_03241,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_03411,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_04581,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_04591,,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_04601,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_07071,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_07731,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_09281,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_12251,,nitroreductase family protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_18621,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19151,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19161,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19171,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19181,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19191,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19201,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19211,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19221,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19231,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19241,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19251,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19261,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_19531,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_20151,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_21401,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL1A,Prochlorococcus NATL1A,NATL1_21711,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_0498,PMN2A_RS05525,nitroreductase family protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_0993,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1044,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1045,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1046,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1047,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1048,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1049,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1050,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1051,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1052,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1053,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1054,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1055,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1078,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1141,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1298,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1299,focA,"nitrite transporter, FNT family",Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1612,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_0083,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_0141,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_0259,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_0498,PMN2A_RS05525,nitroreductase family protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_0993,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1044,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1045,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1046,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1047,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1048,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1049,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1050,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1051,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1052,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1053,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1054,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1055,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1078,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1141,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1269,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1298,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1390,cynS,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1612,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1629,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1741,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1742,PMN2A_RS02170,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus NATL2A,Prochlorococcus NATL2A,PMN2A_1743,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0277,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1616,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1668,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1724,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0277,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0295,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0403,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0404,metC/metB,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0405,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0745,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
