category,omics,timepoint,timepoint_hours,ontology,experiment_id,class,background_used,organism,score_up,score_down,final_score,n_up_sig,n_down_sig,n_up_total,n_down_total,n_total_sig,n_total_terms
,RNA,day 11,264.0,cyanorak_role,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,NC,table_scope,Prochlorococcus MED4,2.031542441543175,0.0,0.5804406975837643,1,0,2,5,2,69
,RNA,day 11,264.0,kegg,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,NC,table_scope,Prochlorococcus MED4,4.799435032012628,0.0,0.7999058386687713,1,0,1,5,1,97
axenic_dying,Prot,day 14,336.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,1.7532707052281056,0.381962940313869,0.7737651588607938,1,1,2,5,2,69
axenic_dying,Prot,day 14,336.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,3.139674580397364,0.3453438339327016,0.8110656250101455,1,1,1,5,3,97
axenic_dead,Prot,day 31,744.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,0.0,0.6488808099041314,0.4634862927886653,0,1,2,5,2,69
axenic_dead,Prot,day 31,744.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,0.0,0.7522455970398406,0.6268713308665338,0,1,1,5,3,97
axenic_dead,Prot,day 89,2136.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,0.0,0.6689990750197852,0.47785648215698945,0,2,2,5,4,69
axenic_dead,Prot,day 89,2136.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,T,table_scope,Prochlorococcus MED4,0.0,0.6116846674701322,0.5097372228917768,0,1,1,5,1,97
coculture,Prot,day 18,432.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,5.7459785124099145,0.42019528213525137,1.941847633642298,2,1,2,5,4,69
coculture,Prot,day 18,432.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,5.43036485237694,0.4378491143663494,1.2699350707014478,1,1,1,5,4,97
coculture,Prot,day 31,744.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,5.0,2.0,2.857142857142857,1,1,2,5,4,69
coculture,Prot,day 31,744.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,2.8541812266101907,2.8135353007479234,2.820309621724968,1,2,1,5,3,97
coculture,Prot,day 60,1440.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,4.50616995710767,-0.1296520123090204,1.1948685503814627,2,2,2,5,6,69
