priority,in_cyanorak,kind,kg_fit_score,n_seeds,seeds,pools,best_identity,year,title,doi,pmcid,pmid,homolog_genera,meta
2,False,other,1,3,PMM1135;PMT9312_0549;SynWH7803_0353,pro;syn,54,2026,Impact of SliP4 deletion on the high-light acclimation in Synechocystis sp. PCC 6803,10.1093/femsml/uqag003,PMC12850537,,Synechocystis,"Alvarenga-Lucius, microLife 2026"
2,False,other,1,2,PMT9312_0549;PMT9312_0550,pro,75,2018,RcaE-Dependent Regulation of Carboxysome Structural Proteins Has a Central Role in Environmental Determination of Carboxysome Morphology and Abundance in Fremyella diplosiphon,10.1128/msphere.00617-17,PMC5784247,,Anabaena;Nostoc;Trichormus,"Rohnke, mSphere 2018"
2,False,other,1,2,BL107_11441;PMT9312_0550,pro;syn,74,2023,Site-2 Protease Slr1821 Regulates Carbon/Nitrogen Homeostasis during Ammonium Stress Acclimation in Cyanobacterium Synechocystis sp. PCC 6803,10.3390/ijms24076606,PMC10094980,,Synechocystis,"Lin, International journal of molecular sciences 2023"
2,False,other,1,2,PMT9312_0549;PMT9312_0550,pro,74,2025,Site-2 protease Sll0528 interacts with RbcR to regulate carbon/nitrogen homeostasis in the cyanobacterium <i>Synechocystis</i> sp. PCC 6803,10.3389/fmicb.2025.1556583,PMC12014562,,Synechocystis,"Lin, Frontiers in microbiology 2025"
2,False,other,1,2,PMT9312_0550;SYNW1780,pro;syn,74,2025,Proteomic analysis of metabolic adaptation in a unicellular cyanobacterium during light-dark cycles and nitrogen fixation,10.1038/s41598-025-21588-0,PMC12518598,,Crocosphaera;Cyanothece,"Panda, Scientific reports 2025"
2,False,other,1,2,PMT9312_0549;PMT9312_0550,pro,74,2026,Differences in photosystem II activity and carbon allocation during photomixotrophic growth in distinct wild-type strains of Synechocystis sp. PCC 6803,10.1111/tpj.70683,PMC12831587,,Synechocystis,"Huokko, The Plant journal : for cell and molecular biology 2026"
2,False,other,1,2,PMT9312_0549;PMT9312_0550,pro,74,2012,Elucidating essential role of conserved carboxysomal protein CcmN reveals common feature of bacterial microcompartment assembly,10.1074/jbc.m112.355305,PMC3366800,,Synechococcus,"Kinney, The Journal of biological chemistry 2012"
2,False,other,1,2,PMT1742;PMT9312_0550,pro,74,2018,Analysis of Protein Complexes in the Unicellular Cyanobacterium Cyanothece ATCC 51142,10.1021/acs.jproteome.8b00170,PMC6400067,,Crocosphaera,"Aryal, Journal of proteome research 2018"
2,False,other,1,2,PMT9312_0550;SynWH7803_0353,pro;syn,74,2019,Genome and proteome of the chlorophyll f-producing cyanobacterium Halomicronema hongdechloris: adaptative proteomic shifts under different light conditions,10.1186/s12864-019-5587-3,PMC6416890,,Halomicronema,"Chen, BMC genomics 2019"
2,False,other,1,2,PMT9312_0549;PMT9312_0550,pro,74,2020,Origin and Evolution of Carboxysome Positioning Systems in Cyanobacteria,10.1093/molbev/msz308,PMC7182216,,Synechococcus,"MacCready, Molecular biology and evolution 2020"
2,False,other,1,2,PMT9312_0550;SynWH7803_0353,pro;syn,74,2021,Different Regulatory Modes of Synechocystis sp. PCC 6803 in Response to Photosynthesis Inhibitory Conditions,10.1128/msystems.00943-21,PMC8651088,,Synechocystis,"Cho, mSystems 2021"
2,False,other,1,2,BL107_07454;SYNW1780,syn,64,2025,Diurnal rhythm causes metabolic crises in the cyanobacterial mutants of c-di-AMP signaling cascade,10.1016/j.isci.2025.113261,PMC12454622,,Synechocystis,"Haffner, iScience 2025"
2,False,other,1,2,BL107_07454;PMT9312_0549,pro;syn,62,2012,Proteomic analysis reveals resistance mechanism against biofuel hexane in Synechocystis sp. PCC 6803,10.1186/1754-6834-5-68,PMC3479031,,Synechocystis,"Liu, Biotechnology for biofuels 2012"
2,False,other,1,2,BL107_07454;PMM1135,pro;syn,62,2019,Universal Molecular Triggers of Stress Responses in Cyanobacterium Synechocystis,10.3390/life9030067,PMC6789579,,Synechocystis,"Mironov, Life (Basel, Switzerland) 2019"
2,False,other,1,2,PMT9312_0549;SynWH7803_0353,pro;syn,58,2019,"Elevated carbon dioxide levels lead to proteome-wide alterations for optimal growth of a fast-growing cyanobacterium, Synechococcus elongatus PCC 11801",10.1038/s41598-019-42576-1,PMC6472392,,Synechococcus,"Mehta, Scientific reports 2019"
2,False,other,1,2,PMM1135;SynWH7803_0353,pro;syn,57,2023,Dynamic Changes in the Thylakoid Proteome of Cyanobacteria during Light-Regulated Thylakoid Membrane Development,10.3390/plants12233967,PMC10708155,,Synechococcus,"Huang, Plants (Basel, Switzerland) 2023"
2,False,other,1,2,PMT9312_0549;SynWH7803_0353,pro;syn,43,2009,Computational prediction of cAMP receptor protein (CRP) binding sites in cyanobacterial genomes,10.1186/1471-2164-10-23,PMC2633013,,Acaryochloris;Nostoc;Synechocystis,"Xu, BMC genomics 2009"
2,False,other,1,1,BL107_16040,syn,77,2003,"Thioredoxin-linked processes in cyanobacteria are as numerous as in chloroplasts, but targets are different",10.1073/pnas.2534397100,PMC307700,,Synechocystis,"Lindahl, Proceedings of the National Academy of Sciences of the United States of America 2003"
2,False,other,1,1,BL107_16040,syn,77,2013,Using transcriptomics to improve butanol tolerance of Synechocystis sp. strain PCC 6803,10.1128/aem.02694-13,PMC3837751,,Synechocystis,"Anfelt, Applied and environmental microbiology 2013"
2,False,other,1,1,BL107_16040,syn,77,2016,Arabidopsis acyl-acyl carrier protein synthetase AAE15 with medium chain fatty acid specificity is functional in cyanobacteria,10.1186/s13568-016-0178-z,PMC4722043,,Synechocystis,"Kaczmarzyk, AMB Express 2016"
2,False,other,1,1,BL107_16040,syn,77,2018,Structural and functional aspects of the interaction partners of the small heat-shock protein in Synechocystis,10.1007/s12192-018-0884-3,PMC6045555,,Synechocystis,"Marklund, Cell stress & chaperones 2018"
