locus_tag,term_id,term_name
PMM1288,go:0045254,pyruvate dehydrogenase complex
PMM1291,go:0005737,cytoplasm
PMM1296,go:0016020,membrane
PMM1298,go:0045252,oxoglutarate dehydrogenase complex
PMM1302,go:0005829,cytosol
PMM1303,go:0009339,glycolate oxidase complex
PMM1306,go:0005737,cytoplasm
PMM1308,go:0005886,plasma membrane
PMM1309,go:0005575,cellular_component
PMM1309,go:0005737,cytoplasm
PMM1309,go:0032153,cell division site
PMM1311,go:0005575,cellular_component
PMM1311,go:0005737,cytoplasm
PMM1312,go:0005575,cellular_component
PMM1312,go:0005618,cell wall
PMM1312,go:0016020,membrane
PMM1313,go:0005737,cytoplasm
PMM1313,go:0009368,endopeptidase Clp complex
PMM1314,go:0005737,cytoplasm
PMM1316,go:0005886,plasma membrane
PMM1317,go:0016020,membrane
PMM1321,go:0005829,cytosol
PMM1323,go:0005886,plasma membrane
PMM1324,go:0016020,membrane
PMM1324,go:0043190,ATP-binding cassette (ABC) transporter complex
PMM1327,go:0005886,plasma membrane
PMM1329,go:0005575,cellular_component
PMM1329,go:0005829,cytosol
PMM1332,go:0005622,intracellular anatomical structure
PMM1332,go:0005829,cytosol
PMM1334,go:0005575,cellular_component
PMM1334,go:0005829,cytosol
PMM1334,go:0016020,membrane
PMM1336,go:0005829,cytosol
PMM1337,go:0016020,membrane
PMM1338,go:0019867,outer membrane
PMM1341,go:0016020,membrane
PMM1344,go:0005840,ribosome
PMM1344,go:0022625,cytosolic large ribosomal subunit
PMM1345,go:0000315,organellar large ribosomal subunit
PMM1345,go:0005840,ribosome
PMM1345,go:0022625,cytosolic large ribosomal subunit
PMM1348,go:0030288,outer membrane-bounded periplasmic space
PMM1353,go:0005737,cytoplasm
PMM1356,go:0030095,chloroplast photosystem II
PMM1356,go:0030096,plasma membrane-derived thylakoid photosystem II
PMM1357,go:0016020,membrane
PMM1359,go:0005886,plasma membrane
PMM1364,go:0005737,cytoplasm
PMM1371,go:0005886,plasma membrane
PMM1373,go:0016020,membrane
PMM1378,go:0016020,membrane
PMM1379,go:0005829,cytosol
PMM1384,go:0016020,membrane
PMM1385,go:0016020,membrane
PMM1386,go:0016020,membrane
PMM1386,go:0043190,ATP-binding cassette (ABC) transporter complex
PMM1390,go:0016020,membrane
PMM1396,go:0016020,membrane
PMM1397,go:0016020,membrane
PMM1398,go:0016020,membrane
PMM1399,go:0016020,membrane
PMM1404,go:0016020,membrane
PMM1423,go:0016020,membrane
PMM1432,go:0005737,cytoplasm
PMM1434,go:0005737,cytoplasm
PMM1435,go:0005886,plasma membrane
PMM1436,go:0005737,cytoplasm
PMM1436,go:1990220,GroEL-GroES complex
PMM1437,go:0005737,cytoplasm
PMM1437,go:1990220,GroEL-GroES complex
PMM1438,go:0005622,intracellular anatomical structure
PMM1438,go:0045259,proton-transporting ATP synthase complex
PMM1438,go:0098797,plasma membrane protein complex
PMM1439,go:0005622,intracellular anatomical structure
PMM1439,go:0045259,proton-transporting ATP synthase complex
PMM1439,go:0098797,plasma membrane protein complex
PMM1440,go:0005840,ribosome
PMM1440,go:0009536,plastid
PMM1442,go:0005829,cytosol
PMM1443,go:0005575,cellular_component
PMM1443,go:0005886,plasma membrane
PMM1444,go:0005737,cytoplasm
PMM1444,go:0016020,membrane
PMM1446,go:0005575,cellular_component
PMM1446,go:0005737,cytoplasm
PMM1450,go:0005622,intracellular anatomical structure
PMM1450,go:0045259,proton-transporting ATP synthase complex
PMM1450,go:0098797,plasma membrane protein complex
PMM1451,go:0005622,intracellular anatomical structure
PMM1451,go:0045259,proton-transporting ATP synthase complex
PMM1451,go:0098797,plasma membrane protein complex
PMM1452,go:0045259,proton-transporting ATP synthase complex
PMM1453,go:0005622,intracellular anatomical structure
PMM1453,go:0045259,proton-transporting ATP synthase complex
PMM1453,go:0098797,plasma membrane protein complex
PMM1454,go:0005622,intracellular anatomical structure
PMM1454,go:0045259,proton-transporting ATP synthase complex
PMM1454,go:0098797,plasma membrane protein complex
PMM1455,go:0045259,proton-transporting ATP synthase complex
PMM1456,go:0005622,intracellular anatomical structure
PMM1456,go:0005886,plasma membrane
PMM1456,go:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain"
PMM1456,go:0045259,proton-transporting ATP synthase complex
PMM1457,go:0045259,proton-transporting ATP synthase complex
PMM1458,go:0005886,plasma membrane
PMM1458,go:0032153,cell division site
PMM1459,go:0016020,membrane
PMM1460,go:0042651,thylakoid membrane
PMM1461,go:0005737,cytoplasm
PMM1463,go:0005829,cytosol
PMM1465,go:0005829,cytosol
PMM1466,go:0045239,tricarboxylic acid cycle heteromeric enzyme complex
PMM1467,go:0055087,Ski complex
PMM1471,go:0005575,cellular_component
PMM1471,go:0005829,cytosol
PMM1472,go:0005737,cytoplasm
PMM1475,go:0005575,cellular_component
PMM1475,go:0005829,cytosol
PMM1480,go:0030089,phycobilisome
PMM1481,go:0005737,cytoplasm
PMM1482,go:0016020,membrane
PMM1483,go:0000428,DNA-directed RNA polymerase complex
PMM1483,go:0005622,intracellular anatomical structure
PMM1484,go:0000428,DNA-directed RNA polymerase complex
PMM1485,go:0000345,cytosolic DNA-directed RNA polymerase complex
PMM1485,go:0005622,intracellular anatomical structure
PMM1486,go:0005829,cytosol
PMM1487,go:0005840,ribosome
PMM1487,go:0022627,cytosolic small ribosomal subunit
PMM1488,go:0005575,cellular_component
PMM1488,go:0005829,cytosol
PMM1489,go:0005575,cellular_component
PMM1489,go:0005829,cytosol
PMM1490,go:0030288,outer membrane-bounded periplasmic space
PMM1492,go:0005829,cytosol
PMM1494,go:0005737,cytoplasm
PMM1495,go:0016020,membrane
PMM1496,go:0005886,plasma membrane
PMM1498,go:0005829,cytosol
PMM1501,go:0005575,cellular_component
PMM1501,go:0005737,cytoplasm
PMM1501,go:0016020,membrane
PMM1504,go:0005737,cytoplasm
PMM1507,go:0005737,cytoplasm
PMM1507,go:0022627,cytosolic small ribosomal subunit
PMM1510,go:0022627,cytosolic small ribosomal subunit
