child_id,parent_id,child_level,parent_level
go:0033178,go:0098796,3,2
go:0009390,go:0032991,2,1
go:0033202,go:1902494,3,2
go:0043227,go:0043226,3,2
go:0009361,go:0042709,5,4
go:0110142,go:1902494,3,2
go:0009366,go:1902494,3,2
go:0009366,go:0140535,3,2
go:0032299,go:1902494,3,2
go:0032299,go:0140535,3,2
go:0019867,go:0016020,3,2
go:0022626,go:0005840,3,5
go:0022626,go:0005829,3,2
go:1902555,go:1905348,4,3
go:0031241,go:0009279,3,3
go:0031241,go:0098552,3,2
go:0042995,go:0110165,2,1
go:1905347,go:1905348,4,3
go:0005737,go:0110165,2,1
go:0005737,go:0005622,2,2
go:0110001,go:0017053,4,3
go:1905348,go:1902494,3,2
go:1905348,go:0140535,3,2
go:0031415,go:0031414,4,3
go:0000408,go:1990234,4,3
go:0009421,go:0009420,2,2
go:0009421,go:0110165,2,1
go:0031232,go:0009897,4,3
go:0031232,go:0019897,4,3
go:0022625,go:0015934,4,4
go:0022625,go:0022626,4,3
go:0031004,go:0090533,6,5
go:0044776,go:0009360,3,4
go:0044776,go:0140513,3,2
go:0098567,go:0009897,4,3
go:0009368,go:1902494,3,2
go:0031469,go:0043232,5,4
go:0101031,go:0140535,3,2
go:0043846,go:0009360,3,4
go:0043846,go:0140513,3,2
go:0005948,go:1990234,3,3
go:0005948,go:0005737,3,2
go:0009318,go:1902494,3,2
go:0009318,go:0140535,3,2
go:0045121,go:0098857,4,3
go:1990196,go:1990195,5,4
go:0009532,go:0009536,2,3
go:0009532,go:0110165,2,1
go:0031012,go:0030312,3,2
go:0033104,go:0032991,2,1
go:0015935,go:0044391,4,3
go:0016020,go:0110165,2,1
go:0034706,go:0034703,6,5
go:0031522,go:0140535,3,2
go:1905354,go:1902494,3,2
go:0009317,go:1902494,3,2
go:0009317,go:0005737,3,2
go:0009333,go:0005737,3,2
go:0009333,go:1990234,3,3
go:0030677,go:1990904,3,2
go:0030677,go:1902555,3,4
go:0009706,go:0031969,5,5
go:0009706,go:0009528,5,4
go:0033644,go:0033643,5,4
go:0099512,go:0099081,4,3
go:0036125,go:1990234,4,3
go:0036125,go:1990204,4,3
go:1990060,go:0043190,5,4
go:0009279,go:0019867,3,3
go:0009279,go:0030313,3,2
go:0009279,go:0030312,3,2
go:0005618,go:0030312,3,2
go:0005764,go:0000323,5,4
go:0009898,go:0098562,4,3
go:0009898,go:0005886,4,3
go:0009570,go:0009507,3,4
go:0009570,go:0009532,3,2
go:1990097,go:0032993,3,2
go:0055035,go:0031976,5,4
go:0055035,go:0042651,5,4
go:0055035,go:0042170,5,4
go:0015627,go:0032991,2,1
go:0030386,go:0009507,4,4
go:0030386,go:1990204,4,3
go:0098552,go:0110165,2,1
go:0098552,go:0016020,2,2
go:0005964,go:0005737,3,2
go:0005964,go:1902554,3,6
go:0030075,go:0009579,6,5
go:0005856,go:0043232,5,4
go:0000786,go:0000785,3,2
go:0000786,go:0032993,3,2
go:0043597,go:0005737,3,2
go:0043597,go:0005657,3,2
go:0045275,go:1902495,3,3
go:0045275,go:0098803,3,2
go:0045275,go:0070069,3,3
go:0010007,go:0009507,3,4
go:0010007,go:1902494,3,2
go:0031977,go:0009579,2,5
go:0031977,go:0110165,2,1
go:0098827,go:0005783,3,3
go:0098827,go:0031984,3,2
go:0030313,go:0110165,2,1
go:0012505,go:0110165,2,1
go:0016604,go:0005654,3,2
go:0016604,go:0043232,3,4
go:0015934,go:0044391,4,3
go:0098636,go:0032991,2,1
go:0009654,go:0042651,3,4
go:0009654,go:0009523,3,4
go:0009654,go:1990204,3,3
go:0009654,go:0098796,3,2
go:0055052,go:0043190,5,4
go:0044423,go:0005575,1,0
go:0009842,go:0009536,4,3
go:0031236,go:0098567,5,4
go:0031236,go:0031232,5,4
go:0044853,go:0098590,4,3
go:0044853,go:0045121,4,4
go:0009332,go:0005737,3,2
go:0009332,go:1902494,3,2
go:0043190,go:0098797,4,3
go:0043190,go:0098533,4,4
go:1902494,go:0032991,2,1
go:0009512,go:0070069,4,3
go:0009512,go:0009579,4,5
go:0030288,go:0042597,3,2
go:0030288,go:0030313,3,2
go:0005654,go:0031981,2,5
go:0005654,go:0110165,2,1
go:0097708,go:0043231,5,4
go:0097708,go:0031982,5,4
go:0009316,go:0005829,3,2
go:0009316,go:1902494,3,2
go:0045283,go:1902494,3,2
go:0045283,go:0098803,3,2
go:0045283,go:0098796,3,2
go:1990140,go:1990228,4,3
go:0009331,go:0005737,3,2
go:0009331,go:1990204,3,3
go:0000502,go:1905369,3,4
go:0000502,go:0140535,3,2
go:0060205,go:0031410,4,3
go:0060205,go:0070013,4,4
go:0060205,go:0031983,4,4
go:0043590,go:0043232,3,4
go:0043590,go:0009295,3,2
go:0043527,go:0034708,4,3
go:0005759,go:0005739,4,3
go:0005759,go:0070013,4,4
go:0046930,go:0098796,3,2
go:0030094,go:0098797,3,3
go:0030094,go:0009522,3,4
go:0030094,go:0030075,3,6
go:0030094,go:0005737,3,2
go:0033281,go:0098797,4,3
go:0009420,go:0009288,2,3
go:0009420,go:0110165,2,1
go:0036464,go:0005737,3,2
go:0036464,go:0035770,3,3
go:0048501,go:0048500,4,3
go:0044384,go:0033644,6,5
go:0030312,go:0110165,2,1
go:0030312,go:0071944,2,2
go:0043233,go:0043226,3,2
go:0043233,go:0031974,3,2
go:0005835,go:1902494,3,2
go:0005835,go:0140535,3,2
go:0071513,go:0005737,3,2
go:0071513,go:1902494,3,2
go:0009382,go:0005737,3,2
go:0009382,go:1990234,3,3
go:0043596,go:0000228,3,6
go:0043596,go:0005657,3,2
go:0005839,go:0000502,3,3
go:0005839,go:1902494,3,2
go:0005839,go:0140535,3,2
go:0000139,go:0005794,4,3
go:0000139,go:0098588,4,4
go:0009324,go:1990204,4,3
go:0009324,go:0098797,4,3
go:0005768,go:0012505,3,2
go:0005768,go:0031410,3,3
go:0098015,go:0044423,2,1
go:0002189,go:0061695,5,4
go:0033643,go:0018995,4,3
go:1990077,go:0030894,3,3
go:1990077,go:0032993,3,2
go:0034708,go:0005622,3,2
go:0034708,go:1990234,3,3
go:0005634,go:0043231,5,4
go:0030089,go:0098796,3,2
go:0030089,go:0030076,3,2
go:0030089,go:0042651,3,4
go:0005874,go:0015630,6,6
go:0005874,go:0099513,6,5
go:0042651,go:0034357,4,3
go:1990112,go:0032991,2,1
go:0009380,go:1990391,4,3
go:0009380,go:1905347,4,4
go:0005739,go:0005737,3,2
go:0005739,go:0043231,3,4
go:0030095,go:0098807,4,3
go:0030095,go:0009523,4,4
go:0034081,go:0005737,3,2
go:0034081,go:1902494,3,2
go:0009426,go:0030694,2,2
go:0009426,go:0110165,2,1
go:0030880,go:0140535,3,2
go:0030880,go:0061695,3,4
go:0005811,go:0043232,5,4
go:0098590,go:0005886,3,3
go:0098590,go:0016020,3,2
go:0016465,go:0005829,3,2
go:0016465,go:0101031,3,3
go:0098797,go:0098796,3,2
go:0098797,go:0005886,3,3
go:0061694,go:0061695,5,4
go:0090533,go:0098533,5,4
go:0005960,go:1990234,4,3
go:0005960,go:1990204,4,3
go:0005655,go:0005730,3,5
go:0005655,go:0140513,3,2
go:0005655,go:0030681,3,4
go:0005667,go:0032991,2,1
go:0009535,go:0009534,4,5
go:0009535,go:0055035,4,5
go:0009535,go:0031968,4,3
go:0031597,go:0005829,3,2
go:0031597,go:0000502,3,3
go:1905202,go:1902494,3,2
go:0034703,go:0034702,5,4
go:0000428,go:0030880,4,3
go:0031984,go:0043229,2,3
go:0031984,go:0043227,2,3
go:0031984,go:0110165,2,1
go:0005576,go:0110165,2,1
go:0005581,go:0032991,2,1
go:0005770,go:0005768,4,3
go:0031515,go:0043527,5,4
go:0009358,go:0061695,5,4
go:0034705,go:0034703,6,5
go:0098025,go:0098015,2,2
go:0098025,go:0044423,2,1
go:0000323,go:0005773,4,3
go:0031414,go:0005737,3,2
go:0031414,go:0031248,3,3
go:0005774,go:0005773,4,3
go:0005774,go:0098588,4,4
go:1990904,go:0032991,2,1
go:0099080,go:0110165,2,1
go:0071944,go:0110165,2,1
go:0031470,go:0031469,6,5
go:0030076,go:0032991,2,1
go:0030076,go:0005622,2,2
go:0005950,go:0005737,3,2
go:0005950,go:1902494,3,2
go:0033573,go:1905862,4,4
go:0033573,go:1902495,4,3
go:0033573,go:0098797,4,3
go:0009547,go:0009532,3,2
go:0009547,go:0000313,3,3
go:0098852,go:0000323,5,4
go:0098852,go:0005774,5,4
go:0060187,go:0110165,2,1
go:0032991,go:0005575,1,0
go:0005622,go:0110165,2,1
go:0098798,go:0005739,2,3
go:0098798,go:0032991,2,1
go:0008076,go:0098797,4,3
go:0008076,go:0034705,4,6
go:0030256,go:0032991,2,1
go:0017053,go:0005667,3,2
go:0009321,go:0005737,2,2
go:0009321,go:0032991,2,1
go:0030141,go:0012505,3,2
go:0030141,go:0099503,3,4
go:0009528,go:0042170,4,4
go:0009528,go:0019866,4,3
go:0070069,go:1902494,3,2
go:1904949,go:1902494,3,2
go:0017117,go:0033202,4,3
go:0009517,go:0009503,4,3
go:0031234,go:0009898,4,4
go:0031234,go:0019897,4,3
go:0005971,go:0005829,3,2
go:0005971,go:1990204,3,3
go:0097347,go:0032991,2,1
go:0016600,go:0005901,4,5
go:0016600,go:0098797,4,3
go:0032153,go:0110165,2,1
go:0031248,go:1902493,3,4
go:0031248,go:0140535,3,2
go:0044391,go:1990904,3,2
go:0044391,go:0005840,3,5
go:0043235,go:0032991,2,1
go:0031969,go:0009941,5,4
go:0031969,go:0042170,5,4
go:0042575,go:0140535,3,2
go:0042575,go:0061695,3,4
go:0031983,go:0031982,4,4
go:0031983,go:0043233,4,3
go:0000178,go:0005622,3,2
go:0000178,go:1905354,3,3
go:0098857,go:0016020,3,2
go:1990104,go:0032991,2,1
go:0045273,go:1990204,3,3
go:0045273,go:0098803,3,2
go:0045273,go:0098796,3,2
go:0005741,go:0031968,4,3
go:0005741,go:0031966,4,4
go:0031410,go:0005737,3,2
go:0031410,go:0097708,3,5
go:0031968,go:0031967,3,2
go:0031968,go:0098588,3,4
go:0031968,go:0019867,3,3
go:0044217,go:0110165,2,1
go:0019897,go:0019898,3,2
go:0019897,go:0005886,3,3
go:0034357,go:0016020,3,2
go:0034357,go:0009579,3,5
go:0009431,go:0009425,2,2
go:0009431,go:0110165,2,1
go:0031979,go:0030075,3,6
go:0031979,go:0005886,3,3
go:0031979,go:0060205,3,4
go:0031979,go:0031977,3,2
go:0042717,go:0042716,3,2
go:0042717,go:0034357,3,3
go:1990351,go:0032991,2,1
go:0043229,go:0043226,3,2
go:0043229,go:0005622,3,2
