locus_tag,term_id,term_name
PMM0178,go:0006750,glutathione biosynthetic process
PMM0179,go:0034599,cellular response to oxidative stress
PMM0179,go:0045454,cell redox homeostasis
PMM0180,go:0006415,translational termination
PMM0182,go:0006508,proteolysis
PMM0182,go:0031125,rRNA 3^-end processing
PMM0183,go:0008654,phospholipid biosynthetic process
PMM0184,go:0000162,L-tryptophan biosynthetic process
PMM0184,go:0008152,metabolic process
PMM0186,go:0009058,biosynthetic process
PMM0187,go:0006420,arginyl-tRNA aminoacylation
PMM0187,go:0010467,gene expression
PMM0187,go:0019752,carboxylic acid metabolic process
PMM0187,go:0043043,peptide biosynthetic process
PMM0188,go:0009435,NAD+ biosynthetic process
PMM0188,go:0019363,pyridine nucleotide biosynthetic process
PMM0188,go:0034213,quinolinate catabolic process
PMM0189,go:0006400,tRNA modification
PMM0191,go:0009605,response to external stimulus
PMM0191,go:0015949,nucleobase-containing small molecule interconversion
PMM0191,go:0015970,guanosine tetraphosphate biosynthetic process
PMM0191,go:0016310,phosphorylation
PMM0191,go:0042594,response to starvation
PMM0191,go:0046128,purine ribonucleoside metabolic process
PMM0192,go:0015675,nickel cation transport
PMM0192,go:0055085,transmembrane transport
PMM0193,go:0000455,enzyme-directed rRNA pseudouridine synthesis
PMM0194,go:0006412,translation
PMM0194,go:0042254,ribosome biogenesis
PMM0195,go:0006096,glycolytic process
PMM0195,go:0019253,reductive pentose-phosphate cycle
PMM0197,go:0005975,carbohydrate metabolic process
PMM0197,go:0008360,regulation of cell shape
PMM0197,go:0009252,peptidoglycan biosynthetic process
PMM0197,go:0051301,cell division
PMM0197,go:0071555,cell wall organization
PMM0198,go:0009058,biosynthetic process
PMM0199,go:0006207,^de novo^ pyrimidine nucleobase biosynthetic process
PMM0199,go:0044205,^de novo^ UMP biosynthetic process
PMM0200,go:0043137,"DNA replication, removal of RNA primer"
PMM0201,go:0006412,translation
PMM0202,go:0006412,translation
PMM0202,go:0010467,gene expression
PMM0202,go:0042254,ribosome biogenesis
PMM0202,go:0043043,peptide biosynthetic process
PMM0203,go:0000470,maturation of LSU-rRNA
PMM0203,go:0006412,translation
PMM0203,go:0043043,peptide biosynthetic process
PMM0204,go:0000027,ribosomal large subunit assembly
PMM0204,go:0006412,translation
PMM0204,go:0010467,gene expression
PMM0204,go:0043043,peptide biosynthetic process
PMM0204,go:0070925,organelle assembly
PMM0205,go:0006353,DNA-templated transcription termination
PMM0205,go:0006354,DNA-templated transcription elongation
PMM0205,go:0031564,transcription antitermination
PMM0205,go:0032784,regulation of DNA-templated transcription elongation
PMM0206,go:0006605,protein targeting
PMM0206,go:0009306,protein secretion
PMM0206,go:0043952,protein transport by the Sec complex
PMM0206,go:0065002,intracellular protein transmembrane transport
PMM0207,go:0006508,proteolysis
PMM0207,go:0034605,cellular response to heat
PMM0208,go:0006096,glycolytic process
PMM0209,go:0006468,protein phosphorylation
PMM0212,go:0006808,regulation of nitrogen utilization
PMM0214,go:0055085,transmembrane transport
PMM0215,go:0006782,protoporphyrinogen IX biosynthetic process
PMM0215,go:0015995,chlorophyll biosynthetic process
PMM0215,go:0033014,tetrapyrrole biosynthetic process
PMM0217,go:0006298,mismatch repair
PMM0217,go:0045910,negative regulation of DNA recombination
PMM0217,go:0072344,rescue of stalled cytosolic ribosome
PMM0218,go:0042254,ribosome biogenesis
PMM0220,go:0015977,carbon fixation
PMM0222,go:0008152,metabolic process
PMM0224,go:0008652,amino acid biosynthetic process
PMM0224,go:0009073,aromatic amino acid family biosynthetic process
PMM0224,go:0009423,chorismate biosynthetic process
PMM0225,go:0008152,metabolic process
PMM0226,go:0006508,proteolysis
PMM0226,go:0010205,photoinhibition
PMM0226,go:0010206,photosystem II repair
PMM0226,go:0010304,PSII associated light-harvesting complex II catabolic process
PMM0226,go:0051301,cell division
PMM0227,go:0000103,sulfate assimilation
PMM0228,go:0010207,photosystem II assembly
PMM0228,go:0015979,photosynthesis
PMM0228,go:0042549,photosystem II stabilization
PMM0229,go:0015937,coenzyme A biosynthetic process
PMM0229,go:0015941,pantothenate catabolic process
PMM0233,go:0006207,^de novo^ pyrimidine nucleobase biosynthetic process
PMM0233,go:0006520,amino acid metabolic process
PMM0233,go:0009220,pyrimidine ribonucleotide biosynthetic process
PMM0234,go:0006284,base-excision repair
PMM0235,go:0006424,glutamyl-tRNA aminoacylation
PMM0235,go:0006450,regulation of translational fidelity
PMM0236,go:0006629,lipid metabolic process
PMM0238,go:0006428,isoleucyl-tRNA aminoacylation
PMM0240,go:0106004,tRNA (guanine-N7)-methylation
