pathway_id,pathway_name,locus_tags,gene_count
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,PMM0015|PMM0016|PMM0017|PMM0018|PMM0019|PMM0064|PMM0066|PMM0070|PMM0071|PMM0072|PMM0073|PMM0079|PMM0093|PMM0094|PMM0097|PMM0099|PMM0110|PMM0169|PMM0178|PMM0191|PMM0201|PMM0202|PMM0211|PMM0221|PMM0225|PMM0235|PMM0246|PMM0283|PMM0285|PMM0316|PMM0331|PMM0336|PMM0340|PMM0345|PMM0350|PMM0403|PMM0415|PMM0418|PMM0420|PMM0424|PMM0425|PMM0452|PMM0471|PMM0484|PMM0489|PMM0496|PMM0500|PMM0512|PMM0535|PMM0536|PMM0540|PMM0559|PMM0567|PMM0580|PMM0581|PMM0601|PMM0605|PMM0620|PMM0627|PMM0637|PMM0638|PMM0645|PMM0653|PMM0663|PMM0671|PMM0672|PMM0673|PMM0689|PMM0690|PMM0699|PMM0704|PMM0705|PMM0706|PMM0709|PMM0710|PMM0711|PMM0712|PMM0713|PMM0714|PMM0716|PMM0723|PMM0724|PMM0725|PMM0741|PMM0757|PMM0758|PMM0768|PMM0770|PMM0771|PMM0803|PMM0805|PMM0806|PMM0815|PMM0816|PMM0817|PMM0818|PMM0833|PMM0850|PMM0856|PMM0895|PMM0898|PMM0901|PMM0902|PMM0903|PMM0921|PMM0949|PMM0955|PMM0960|PMM0961|PMM0962|PMM0963|PMM0964|PMM0965|PMM0966|PMM0967|PMM0968|PMM0969|PMM0970|PMM0971|PMM0972|PMM0973|PMM0974|PMM0976|PMM0977|PMM0978|PMM0996|PMM1001|PMM1002|PMM1010|PMM1025|PMM1032|PMM1040|PMM1046|PMM1052|PMM1056|PMM1060|PMM1061|PMM1071|PMM1075|PMM1086|PMM1088|PMM1101|PMM1111|PMM1118|PMM1119|PMM1121|PMM1128|PMM1135|PMM1150|PMM1161|PMM1163|PMM1164|PMM1168|PMM1171|PMM1172|PMM1185|PMM1186|PMM1264|PMM1276|PMM1283|PMM1284|PMM1294|PMM1295|PMM1317|PMM1329|PMM1330|PMM1333|PMM1348|PMM1352|PMM1355|PMM1356|PMM1359|PMM1360|PMM1366|PMM1378|PMM1382|PMM1384|PMM1385|PMM1388|PMM1390|PMM1396|PMM1397|PMM1398|PMM1399|PMM1404|PMM1416|PMM1436|PMM1437|PMM1449|PMM1459|PMM1463|PMM1477|PMM1482|PMM1512|PMM1519|PMM1520|PMM1543|PMM1569|PMM1588|PMM1598|PMM1599|PMM1601|PMM1629|PMM1657|PMM1665|PMM1667|PMM1670|PMM1672|PMM1678|PMM1695|PMM1704|PMM1713|TX50_RS09730,213
cyanorak.role:D.2,Cellular processes > Cell division,PMM0057|PMM0120|PMM0226|PMM0320|PMM0321|PMM0322|PMM0395|PMM0909|PMM0910|PMM1159|PMM1264|PMM1287|PMM1308|PMM1309|PMM1458|PMM1621|PMM1622,17
cyanorak.role:D.4,Cellular processes > Chaperones,PMM0016|PMM0211|PMM0447|PMM0556|PMM0580|PMM0901|PMM0966|PMM0967|PMM0968|PMM0969|PMM1436|PMM1437|PMM1657,13
cyanorak.role:D.8,Cellular processes > Toxin production and resistance,PMM0114|PMM0504|PMM0559|PMM0653|PMM0711|PMM1279,6
cyanorak.role:E.1,Central intermediary metabolism > Amino sugars,PMM0152|PMM0241|PMM1207|PMM1258|PMM1259|PMM1260|PMM1606,7
cyanorak.role:E.3,Central intermediary metabolism > Phosphorus metabolism,PMM0457|PMM0494|PMM0511|PMM0671|PMM0672|PMM0673|PMM0710|PMM0723|PMM0724|PMM0725|PMM1071|PMM1284|PMM1416|PMM1696,14
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,PMM0246|PMM0263|PMM0370|PMM0371|PMM0372|PMM0373|PMM0407|PMM0408|PMM0409|PMM0642|PMM0920|PMM0951|PMM0963|PMM0964|PMM0965|PMM0966|PMM0967|PMM0968|PMM0969|PMM0970|PMM0971|PMM0972|PMM0973|PMM0974|PMM1463|PMM1512|PMM1569|PMM1670,28
cyanorak.role:E.7,Central intermediary metabolism > Sulfur metabolism,PMM0070|PMM0071|PMM0072|PMM0073|PMM0081|PMM0166|PMM0227|PMM0643|PMM0758|PMM1052|PMM1192|PMM1665,12
cyanorak.role:F.1,"DNA metabolism > DNA replication, recombination, and repair",PMM0001|PMM0005|PMM0031|PMM0077|PMM0129|PMM0133|PMM0217|PMM0234|PMM0248|PMM0277|PMM0285|PMM0304|PMM0328|PMM0398|PMM0425|PMM0436|PMM0484|PMM0497|PMM0565|PMM0659|PMM0661|PMM0675|PMM0727|PMM0728|PMM0756|PMM0802|PMM0839|PMM0843|PMM0882|PMM0936|PMM0937|PMM0939|PMM0942|PMM0945|PMM1054|PMM1063|PMM1097|PMM1102|PMM1103|PMM1105|PMM1140|PMM1381|PMM1403|PMM1417|PMM1467|PMM1515|PMM1562|PMM1564|PMM1573|PMM1615|PMM1623|PMM1634|PMM1645|PMM1647|PMM1649|PMM1658|PMM1674|PMM1679|PMM1712|PMM1713,60
cyanorak.role:F.2,DNA metabolism > Restriction/modification,PMM0038|PMM0384|PMM0386|PMM1014|PMM1841,5
cyanorak.role:G.1,Energy metabolism > Amino acids and amines (catabolism),PMM0311|PMM0491|PMM0531|PMM1625|PMM1686,5
cyanorak.role:G.2,Energy metabolism > Electron transport,PMM0041|PMM0042|PMM0043|PMM0082|PMM0121|PMM0140|PMM0145|PMM0149|PMM0150|PMM0157|PMM0158|PMM0159|PMM0160|PMM0172|PMM0179|PMM0283|PMM0292|PMM0293|PMM0294|PMM0295|PMM0316|PMM0435|PMM0444|PMM0445|PMM0446|PMM0462|PMM0570|PMM0581|PMM0594|PMM0845|PMM0898|PMM1057|PMM1061|PMM1075|PMM1143|PMM1150|PMM1152a|PMM1161|PMM1171|PMM1352|PMM1449|PMM1477|PMM1559|PMM1604|PMM1720,45
cyanorak.role:G.4,Energy metabolism > Glycolysis/gluconeogenesis,PMM0023|PMM0076|PMM0208|PMM0278|PMM0331|PMM0405|PMM0505|PMM0596|PMM0619|PMM0713|PMM0769|PMM0781|PMM0890|PMM0912|PMM0930|PMM1434,16
cyanorak.role:G.5,Energy metabolism > Pentose phosphate pathway,PMM0076|PMM0278|PMM0519|PMM0766|PMM0770|PMM0771|PMM0781|PMM0785|PMM0829|PMM0890|PMM1044|PMM1074|PMM1080|PMM1236|PMM1489|PMM1610,16
cyanorak.role:G.8,Energy metabolism > Glycogen and sugar metabolism,PMM0076|PMM0278|PMM0310|PMM0327|PMM0496|PMM0505|PMM0584|PMM0596|PMM0609|PMM0769|PMM0785|PMM0832|PMM0890|PMM0961|PMM1077|PMM1081|PMM1163|PMM1202|PMM1209|PMM1211|PMM1217|PMM1224|PMM1261|PMM1322|PMM1601|PMM1627|PMM1711,27
cyanorak.role:G.9,Energy metabolism > TCA cycle,PMM0161|PMM0405|PMM0419|PMM0930|PMM1298|PMM1466|PMM1575|PMM1596|PMM1700,9
cyanorak.role:H.2,"Fatty acid, phospholipid and sterol metabolism > Fatty acid metabolism",PMM0027|PMM0060|PMM0078|PMM0136|PMM0137|PMM0138|PMM0282|PMM0402|PMM0453|PMM0478|PMM0532|PMM0533|PMM0534|PMM0535|PMM0592|PMM0670|PMM0694|PMM0784|PMM1071|PMM1108|PMM1336|PMM1378|PMM1609,23
cyanorak.role:H.3,"Fatty acid, phospholipid and sterol metabolism > Glycerolipid metabolism",PMM0639|PMM0798|PMM0959|PMM1087|PMM1327,5
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,PMM1438|PMM1439|PMM1450|PMM1451|PMM1452|PMM1453|PMM1454|PMM1455|PMM1456|PMM1457,10
cyanorak.role:J.10,Photosynthesis and respiration > Soluble electron carriers,PMM0042|PMM0043|PMM0316|PMM0581|PMM0898|PMM1075|PMM1161|PMM1171|PMM1352|PMM1449,10
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,PMM0023|PMM0147|PMM0220|PMM0547|PMM0549|PMM0550|PMM0551|PMM0552|PMM0553|PMM0554|PMM0555|PMM0556|PMM0573|PMM0767|PMM0781|PMM0785|PMM0829|PMM1187|PMM1478|PMM1489|PMM1575|PMM1610,22
cyanorak.role:J.3,Photosynthesis and respiration > Cytochrome b6/f complex,PMM0061|PMM0325|PMM0326|PMM0429|PMM0461|PMM0462|PMM0740|PMM0865|PMM1058|PMM1152a|PMM1583|PMM1718,12
cyanorak.role:J.6,Photosynthesis and respiration > NADH dehydrogenase,PMM0121|PMM0145|PMM0149|PMM0150|PMM0157|PMM0158|PMM0159|PMM0160|PMM0172|PMM0292|PMM0293|PMM0294|PMM0435|PMM0570|PMM0594|PMM0845|PMM1559|PMM1604|PMM1720,19
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,PMM0132|PMM0329|PMM0468|PMM0469|PMM0474|PMM0540|PMM0794|PMM0906|PMM1156|PMM1519|PMM1520|PMM1523|PMM1524|PMM1578|PMM1604|PMM1607|PMM1663,17
cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,PMM0062|PMM0223|PMM0228|PMM0251|PMM0252|PMM0253|PMM0272|PMM0296|PMM0297|PMM0298|PMM0299|PMM0300|PMM0314|PMM0315|PMM0317|PMM0500|PMM0507|PMM0741|PMM0840|PMM0926|PMM0944|PMM1098|PMM1117|PMM1152|PMM1157|PMM1158|PMM1186|PMM1356|PMM1490|PMM1644|PMM1900,31
cyanorak.role:K.1,Protein synthesis > tRNA aminoacylation,PMM0044|PMM0048|PMM0187|PMM0235|PMM0238|PMM0473|PMM0597|PMM0598|PMM0623|PMM0759|PMM0841|PMM0867|PMM0871|PMM0889|PMM0946|PMM1141|PMM1165|PMM1188|PMM1329|PMM1568|PMM1618|PMM1682|PMM1688,23
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,PMM0102|PMM0194|PMM0201|PMM0202|PMM0203|PMM0204|PMM0312|PMM0406|PMM0410|PMM0475|PMM0530|PMM0753|PMM0853|PMM0869|PMM0870|PMM0902|PMM0943|PMM0987|PMM1089|PMM1138|PMM1183|PMM1190|PMM1193|PMM1285|PMM1344|PMM1345|PMM1440|PMM1487|PMM1491|PMM1507|PMM1510|PMM1511|PMM1530|PMM1531|PMM1532|PMM1534|PMM1536|PMM1537|PMM1538|PMM1541|PMM1542|PMM1543|PMM1544|PMM1545|PMM1546|PMM1547|PMM1548|PMM1549|PMM1550|PMM1551|PMM1552|PMM1553|PMM1554|PMM1555|PMM1556|PMM1557|PMM1558|PMM1661|PMM1662|PMM1673|PMM1706,61
cyanorak.role:K.3,Protein synthesis > tRNA and rRNA base modification,PMM0007|PMM0014|PMM0106|PMM0116|PMM0171|PMM0182|PMM0189|PMM0193|PMM0240|PMM0276|PMM0319|PMM0388|PMM0422|PMM0426|PMM0470|PMM0658|PMM0862|PMM0948|PMM1056|PMM1059|PMM1116|PMM1291|PMM1299|PMM1305|PMM1464|PMM1475|PMM1481|PMM1533|PMM1626|PMM1635|PMM1651|PMM1675,32
cyanorak.role:K.4,Protein synthesis > Translation factors,PMM0026|PMM0180|PMM0250|PMM0400|PMM0762|PMM1151|PMM1494|PMM1508|PMM1509|PMM1529,10
cyanorak.role:L.1,Protein fate > Protein and peptide secretion and trafficking,PMM0010|PMM0097|PMM0343|PMM0374|PMM0464|PMM0513|PMM0606|PMM0915|PMM0929|PMM1286|PMM1540|PMM1639,12
cyanorak.role:L.2,Protein fate > Protein modification and repair,PMM0015|PMM0068|PMM0252|PMM0324|PMM0460|PMM0477|PMM0538|PMM0677|PMM0743|PMM0745|PMM0854|PMM0955|PMM1591,13
cyanorak.role:L.3,Protein fate > Protein folding and stabilization,PMM0016|PMM0017|PMM0122|PMM0132|PMM0207|PMM0296|PMM0452|PMM0474|PMM0482|PMM0580|PMM0873|PMM0894|PMM0896|PMM0897|PMM0901|PMM1088|PMM1106|PMM1156|PMM1293|PMM1295|PMM1432|PMM1436|PMM1437|PMM1474|PMM1480|PMM1655|PMM1657|PMM1704,28
cyanorak.role:L.4,"Protein fate > Degradation of proteins, peptides, and glycopeptides",PMM0069|PMM0324|PMM0455|PMM0493|PMM0585|PMM0593|PMM0686|PMM0742|PMM0993|PMM1002|PMM1040|PMM1180|PMM1189|PMM1264|PMM1313|PMM1314|PMM1381|PMM1425|PMM1442|PMM1499|PMM1506|PMM1613|PMM1656,23
cyanorak.role:M.1,"Purines, pyrimidines, nucleosides, and nucleotides > 2^-Deoxyribonucleotide metabolism",PMM0031|PMM0046|PMM0244|PMM0412|PMM0661|PMM1403,6
cyanorak.role:M.2,"Purines, pyrimidines, nucleosides, and nucleotides > Nucleotide and nucleoside interconversions",PMM0467|PMM0522|PMM1145|PMM1146|PMM1147|PMM1590,6
cyanorak.role:M.3,"Purines, pyrimidines, nucleosides, and nucleotides > Purine ribonucleotide biosynthesis",PMM0003|PMM0004|PMM0037|PMM0046|PMM0167|PMM0191|PMM0266|PMM0279|PMM0286|PMM0506|PMM0683|PMM0779|PMM0780|PMM0874|PMM0891|PMM1004|PMM1062|PMM1271|PMM1339|PMM1340|PMM1465|PMM1539|PMM1589|PMM1702,24
cyanorak.role:M.4,"Purines, pyrimidines, nucleosides, and nucleotides > Pyrimidine ribonucleotide biosynthesis",PMM0046|PMM0130|PMM0199|PMM0233|PMM0275|PMM0569|PMM0825|PMM0951|PMM1271|PMM1328|PMM1689,11
cyanorak.role:M.5,"Purines, pyrimidines, nucleosides, and nucleotides > Salvage of nucleosides and nucleotides",PMM0286|PMM0301|PMM0548|PMM1122|PMM1290,5
cyanorak.role:N.1,Regulatory functions > DNA interactions,PMM0147|PMM0154|PMM0169|PMM0313|PMM0433|PMM0458|PMM0637|PMM0718|PMM0806|PMM1030|PMM1082|PMM1262|PMM1321|PMM1332|PMM1391|PMM1463|PMM1619|PMM1637,18
cyanorak.role:N.3,Regulatory functions > Protein interactions,PMM0212|PMM0220|PMM0393|PMM0900|PMM0950,5
cyanorak.role:O.1,Signal transduction > Two-component systems,PMM0128|PMM0134|PMM0169|PMM0269|PMM0705|PMM0706|PMM0711|PMM1077|PMM1113|PMM1341|PMM1579|PMM1619,12
cyanorak.role:P.1,Transcription > Degradation of RNA,PMM0200|PMM0558|PMM0728|PMM0847|PMM1191|PMM1467|PMM1501|PMM1502|PMM1564,9
cyanorak.role:P.2,Transcription > DNA-dependent RNA polymerase,PMM1431|PMM1483|PMM1484|PMM1485|PMM1535|PMM1629|PMM1697,7
cyanorak.role:P.3,Transcription > Transcription factors,PMM0154|PMM0443|PMM0496|PMM0573|PMM0577|PMM0923|PMM1281|PMM1289|PMM1492,9
cyanorak.role:P.4,Transcription > RNA processing,PMM0141|PMM0303|PMM0730|PMM0791|PMM0868|PMM0949|PMM1184|PMM1349|PMM1481|PMM1584|PMM1603|PMM1605|PMM1652,13
cyanorak.role:Q.1,"Transport and binding proteins > Amino acids, peptides and amines",PMM0192|PMM0370|PMM0430|PMM0970|PMM0971|PMM0972|PMM0973|PMM0974|PMM1048|PMM1049,10
cyanorak.role:Q.2,Transport and binding proteins > Anions,PMM0214|PMM0644|PMM0671|PMM0672|PMM0673|PMM0710|PMM0723|PMM0724|PMM0725,9
cyanorak.role:Q.4,Transport and binding proteins > Cations and iron carrying compounds,PMM0083|PMM0084|PMM0085|PMM0131|PMM0192|PMM0263|PMM0472|PMM0489|PMM0525|PMM0568|PMM0601|PMM0602|PMM0603|PMM0704|PMM0803|PMM0804|PMM1029|PMM1031|PMM1032|PMM1164|PMM1600|PMM1630|PMM1670,23
cyanorak.role:Q.7,Transport and binding proteins > Sugars,PMM0065|PMM0421|PMM0449|PMM0635|PMM0748|PMM0749|PMM0750|PMM0827|PMM0940|PMM1099|PMM1211|PMM1224,12
cyanorak.role:Q.8,Transport and binding proteins > Other,PMM0125|PMM0274|PMM0764|PMM0914|PMM1386|PMM1632,6
cyanorak.role:Q.9,Transport and binding proteins > Unknown substrate,PMM0078|PMM0089|PMM0097|PMM0213|PMM0392|PMM0589|PMM0712|PMM0927|PMM1046|PMM1139|PMM1175|PMM1179|PMM1239|PMM1695,14
cyanorak.role:R.1,Other > Conserved hypothetical domains,PMM0032|PMM0231|PMM0249|PMM0351|PMM0418|PMM0492|PMM0587|PMM0622|PMM0687|PMM0734|PMM0941|PMM1040|PMM1185|PMM1312|PMM1377|PMM1597|PMM1884|PMM1985,18
cyanorak.role:R.2,Other > Conserved hypothetical proteins,PMM0002|PMM0008|PMM0018|PMM0033|PMM0034|PMM0054|PMM0055|PMM0058|PMM0063|PMM0066|PMM0087|PMM0094|PMM0095|PMM0099|PMM0103|PMM0108|PMM0109|PMM0117|PMM0124|PMM0127|PMM0146|PMM0162|PMM0209|PMM0232|PMM0247|PMM0254|PMM0259|PMM0268|PMM0307|PMM0308|PMM0309|PMM0323|PMM0334|PMM0335|PMM0338|PMM0341|PMM0347|PMM0348|PMM0350|PMM0359|PMM0360|PMM0361|PMM0362|PMM0364|PMM0368|PMM0377|PMM0378|PMM0380|PMM0403|PMM0404|PMM0417|PMM0424|PMM0440|PMM0451|PMM0465|PMM0480|PMM0486|PMM0501|PMM0510|PMM0541|PMM0546|PMM0557|PMM0564|PMM0574|PMM0575|PMM0576|PMM0586|PMM0600|PMM0604|PMM0605|PMM0620|PMM0625|PMM0626|PMM0638|PMM0640|PMM0647|PMM0649|PMM0651|PMM0652|PMM0654|PMM0655|PMM0657|PMM0669|PMM0684|PMM0685|PMM0688|PMM0691|PMM0692|PMM0696|PMM0697|PMM0698|PMM0699|PMM0700|PMM0702|PMM0703|PMM0707|PMM0715|PMM0719|PMM0720|PMM0726|PMM0731|PMM0732|PMM0735|PMM0736|PMM0738|PMM0739|PMM0755|PMM0763|PMM0772|PMM0777|PMM0790|PMM0792|PMM0793|PMM0795|PMM0800|PMM0805|PMM0809|PMM0810|PMM0812|PMM0813|PMM0814|PMM0820|PMM0822|PMM0826|PMM0833|PMM0838|PMM0846|PMM0848|PMM0855|PMM0857|PMM0858|PMM0859|PMM0861|PMM0864|PMM0872|PMM0875|PMM0895|PMM0905|PMM0931|PMM0934|PMM0947|PMM0958|PMM0975|PMM0979|PMM0980|PMM0983|PMM0984|PMM0988|PMM0991|PMM0995|PMM0996|PMM0997|PMM0999|PMM1007|PMM1008|PMM1010|PMM1011|PMM1013|PMM1016|PMM1020|PMM1023|PMM1028|PMM1034|PMM1036|PMM1042|PMM1043|PMM1050|PMM1078|PMM1083|PMM1100|PMM1109|PMM1112|PMM1120|PMM1124|PMM1125|PMM1129|PMM1130|PMM1131|PMM1132|PMM1133|PMM1134|PMM1136|PMM1148|PMM1149|PMM1169|PMM1170|PMM1176|PMM1182|PMM1194|PMM1272|PMM1276|PMM1282|PMM1283|PMM1319|PMM1320|PMM1330|PMM1331|PMM1350|PMM1355|PMM1359|PMM1362|PMM1365|PMM1370|PMM1374|PMM1376|PMM1388|PMM1393|PMM1394|PMM1400|PMM1401|PMM1409|PMM1412|PMM1413|PMM1414|PMM1422|PMM1427|PMM1429|PMM1441|PMM1443|PMM1462|PMM1495|PMM1513|PMM1516|PMM1521|PMM1563|PMM1574|PMM1585|PMM1587|PMM1588|PMM1595|PMM1612|PMM1617|PMM1650|PMM1667|PMM1671|PMM1678|PMM1680|PMM1683|PMM1714|PMM1801|PMM1802|PMM1803|PMM1805|PMM1807|PMM1808|PMM1810|PMM1812|PMM1813|PMM1817|PMM1821|PMM1826|PMM1830|PMM1836|PMM1838|PMM1846|PMM1847|PMM1850|PMM1851|PMM1855|PMM1857|PMM1858|PMM1859|PMM1860|PMM1866|PMM1868|PMM1869|PMM1870|PMM1872|PMM1875|PMM1876|PMM1877|PMM1878|PMM1880|PMM1883|PMM1885|PMM1887|PMM1888|PMM1889|PMM1890|PMM1897|PMM1899|PMM1904|PMM1907|PMM1909|PMM1911|PMM1914|PMM1918|PMM1919|PMM1921|PMM1923|PMM1925|PMM1928|PMM1931|PMM1934|PMM1935|PMM1936|PMM1937|PMM1940|PMM1941|PMM1943|PMM1944|PMM1949|PMM1951|PMM1953|PMM1954|PMM1957|PMM1958|PMM1959|PMM1961|PMM1962|PMM1967|PMM1971|PMM1974|PMM1975|PMM1977|PMM1978|PMM1980|PMM1981|PMM1982|PMM1983|PMM1987|PMM1992|PMM1994|PMM1995|PMM1996|PMM1998|PMM2002|PMM2005|PMM2009|PMM2010|PMM2011|PMM2013|PMM2019|PMM2046|PMM2059|PMM50003|PMM50022|PMM50028|PMM50029|PMM_50048,340
cyanorak.role:R.3,Other > Enzymes of unknown specificity,PMM0029|PMM0053|PMM0067|PMM0104|PMM0198|PMM0267|PMM0273|PMM0342|PMM0352|PMM0384|PMM0386|PMM0439|PMM0488|PMM0528|PMM0562|PMM0681|PMM0782|PMM0789|PMM0842|PMM0851|PMM0880|PMM0883|PMM0917|PMM0921|PMM0985|PMM1001|PMM1012|PMM1047|PMM1068|PMM1086|PMM1104|PMM1123|PMM1144|PMM1153|PMM1168|PMM1212|PMM1225|PMM1232|PMM1234|PMM1235|PMM1253|PMM1346|PMM1389|PMM1392|PMM1444|PMM1476|PMM1498|PMM1567|PMM1571|PMM1586|PMM1598|PMM1599|PMM1628|PMM1677|PMM1715|PMM1841,56
