experiment_id,organism,genus,omics_type,locus_tag,gene_name,product,gene_category,best_rank,direction,log2fc,padj,timepoint
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_17270,rplQ,50S ribosomal protein L17,Translation,4.0,down,-3.54327360788981,0.0001986737846662,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_01420,cheY1,response regulator,Signal transduction,5.0,down,-3.23763370513916,0.0011615348927986,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_05030,flgH,flagellar basal body L-ring protein FlgH,Cell motility,5.0,up,4.80663522084554,2.38468036880514e-07,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_05070,flaA,flagellin N-terminal helical domain-containing protein,Cell motility,6.0,up,4.75572935740153,9.2653065727115e-09,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_17320,rplR,50S ribosomal protein L18,Translation,6.0,down,-3.1619971593221,0.0012388024776331,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_16965,murB,UDP-N-acetylmuramate dehydrogenase,Cell wall and membrane,7.0,down,-3.11783695220947,7.00689348228016e-07,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_17395,,TonB-dependent receptor,Coenzyme metabolism,7.0,up,4.63555876413981,1.22880624116351e-08,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_03285,rpsU,30S ribosomal protein S21,Translation,8.0,down,-3.07495721181234,0.0005151000294029,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_03785,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,Secondary metabolites,8.0,up,4.6351302464803,1.77292788745809e-06,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_04190,,MipA/OmpV family protein,Cell wall and membrane,9.0,up,4.63504632314046,3.25515583914736e-08,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_17285,rpsK,30S ribosomal protein S11,Translation,9.0,down,-2.99928569793702,1.74168976401698e-05,day 31
