locus_tag,gene_name,experiment_id,treatment_type,timepoint,timepoint_hours,timepoint_order,log2fc,padj,rank,rank_up,rank_down,expression_status
PMM0263,amt1,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,3h,3.0,1,3.67,0.02,12,12.0,,significant_up
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,3.6510575612386,1.93750018709816e-05,5,4.0,,significant_up
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 31,744.0,2,3.58713213602702,2.48270602762731e-07,28,4.0,,significant_up
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,3.56736389795939,1.8408903718366e-06,3,3.0,,significant_up
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,3.52990849812825,0.0002511838272328,2,2.0,,significant_up
PMM0958,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,3.52673979635244,0.01,9,5.0,,significant_up
PMM0373,cynS,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,3h,3.0,1,3.49,0.0,16,16.0,,significant_up
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,3.48367023468017,2.56189562285053e-05,6,6.0,,significant_up
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,3.45404656728109,0.0002787219808749,7,7.0,,significant_up
PMM0370,cynA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,3.36823590596517,6.85627450770345e-05,4,3.0,,significant_up
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,3.3569768863566645,7.395965792256581e-06,140,56.0,,significant_up
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,3.352117316421244,1.0044699427936916e-05,141,57.0,,significant_up
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,3.29939047495524,2.18119662069137e-08,11,8.0,,significant_up
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,3.26577631632487,2.58148238326747e-06,6,5.0,,significant_up
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,3.22701247533162,1.43199309413515e-07,9,8.0,,significant_up
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,3.18824863433838,2.63398984896265e-06,13,10.0,,significant_up
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,3.17353884379069,7.70264603864766e-05,5,4.0,,significant_up
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,3.16594298680623,0.0001121136410936,10,9.0,,significant_up
PMM1462,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,days 60+89,,5,-3.1495792881694675,0.0012099104460734,21,,4.0,significant_down
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,3.14743343989054,4.65694086846226e-09,11,10.0,,significant_up
PMM0687,,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,3.13,0.0,70,32.0,,significant_up
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,3.12865835158934,0.01,14,7.0,,significant_up
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,3.11919911702474,8.01644774392301e-06,7,5.0,,significant_up
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,3.10788832258843,0.01,42,10.0,,significant_up
PMM0370,cynA,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,3.1049891422154707,0.0123179722111725,14,13.0,,significant_up
PMM0970,urtA,10.1038/ismej.2015.36_carbon_stress_low_co2_0004_co2_med4_microarray,carbon_stress,,,1,-3.1,,11,,7.0,significant_down
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,3.09633685443019,0.01,26,11.0,,significant_up
PMM0965,ureA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,3.08,0.0,77,37.0,,significant_up
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,3.038840754,1.0,7,,,not_significant
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,3.01927772296539,0.01,30,13.0,,significant_up
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.99746449788411,2.82727119816684e-05,8,6.0,,significant_up
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.99547640482585,8.73053906243799e-08,11,10.0,,significant_up
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,2.981071492685053,2.4777048908969736e-11,184,70.0,,significant_up
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.94700940450033,8.14473662981834e-06,10,8.0,,significant_up
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.94569333394369,0.0002552188126797,11,9.0,,significant_up
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.87783940633138,0.0014236975458664,14,12.0,,significant_up
PMM1463,glnB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,2.85561344589713,0.01,18,11.0,,significant_up
PMM0920,glnA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,2.85,0.0,78,42.0,,significant_up
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.8029047648112,7.75580533266242e-06,17,15.0,,significant_up
PMM0970,urtA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,2.8,0.01,104,50.0,,significant_up
PMM0920,glnA,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-2.79260227,0.000989,589,,268.0,significant_down
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,2.78724797566732,0.0066835050342733,2,2.0,,significant_up
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,2.77320004807168,0.01,67,15.0,,significant_up
PMM1462,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 60,1440.0,3,-2.767657875976118,0.01683560832865,35,,11.0,significant_down
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,2.7204049428304,0.0017487735074487,3,3.0,,significant_up
PMM0687,,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,2.7,0.01,89,47.0,,significant_up
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,2.69060631939773,0.01,24,10.0,,significant_up
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,2.68333907202567,0.01,10,6.0,,significant_up
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 89,2136.0,3,2.67964712778727,2.53352928604394e-06,57,21.0,,significant_up
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,2.6694942279740563,0.0001935099423896,254,97.0,,significant_up
PMM0963,ureC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.66943422953288,6.58724844096484e-06,13,10.0,,significant_up
PMM0371,cynB,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,2.65,0.0,112,52.0,,significant_up
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,2.60293324788411,0.0004868286644235,4,4.0,,significant_up
PMM0965,ureA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,2.6,0.0,99,51.0,,significant_up
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,-2.578430371607697,0.0007778413678228,40,,16.0,significant_down
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.57054074605306,0.0008445127487147,23,19.0,,significant_up
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,2.55111503601075,0.003589909898748,5,5.0,,significant_up
PMM0970,urtA,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,2.532771997371107,0.0126337089028085,21,19.0,,significant_up
PMM1512,glsF,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,2.529728484721897,6.0856483158426845e-09,280,109.0,,significant_up
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 89,2136.0,3,2.52888647715251,3.51988774237846e-06,73,29.0,,significant_up
PMM0687,,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,2.510918035629388,0.0164184145191602,22,20.0,,significant_up
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 14,336.0,1,2.50650183359782,8.16195020776567e-05,20,4.0,,significant_up
PMM0970,urtA,10.1038/ismej.2015.36_carbon_stress_low_co2_and_no_med4_microarray,carbon_stress,,,1,-2.5,,28,,20.0,significant_down
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.47993787129721,0.0003837689990325,27,22.0,,significant_up
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,2.47907781600953,2.48264031965009e-05,25,21.0,,significant_up
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,2.47821776072185,0.0003241404879615,30,24.0,,significant_up
PMM0371,cynB,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,2.46640882596646,0.0126337089028085,24,22.0,,significant_up
PMM0920,glnA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,2.45,0.0,133,63.0,,significant_up
PMM0370,cynA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,2.44718742370605,0.0037862250328424,6,6.0,,significant_up
PMM0920,glnA,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,2.4390669451712435,0.026661813773513,26,24.0,,significant_up
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,2.42644230524699,1.26748453656753e-05,27,23.0,,significant_up
PMM0972,urtC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,2.40765730539958,6.52405833996911e-06,34,27.0,,significant_up
PMM0246,ntcA,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,2.400821454544718,0.0358407295972419,27,25.0,,significant_up
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,2.3932162920634,0.00022757333564,31,26.0,,significant_up
PMM0970,urtA,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-2.374869679,0.020429654,640,,,not_significant
PMM0371,cynB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,2.37248468438192,0.01,55,18.0,,significant_up
PMM0964,ureB,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,2.37,0.01,132,69.0,,significant_up
PMM0971,urtB,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,2.37,0.0,131,68.0,,significant_up
PMM1463,glnB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,2.3455961849395,0.01,59,20.0,,significant_up
PMM0971,urtB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,2.33634514566438,0.01,34,16.0,,significant_up
PMM0263,amt1,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.33147939046224,1.15026184011279e-08,29,23.0,,significant_up
PMM0687,,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,3h,3.0,1,-2.33,0.0,66,,14.0,significant_down
PMM0964,ureB,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,2.33,0.0,146,70.0,,significant_up
PMM0263,amt1,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,2.30809545516968,3.73800064162883e-10,33,28.0,,significant_up
PMM0972,urtC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,2.30497821172078,9.0724264127587e-07,34,29.0,,significant_up
PMM0263,amt1,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,2.28471151987712,7.73086142216315e-09,41,31.0,,significant_up
PMM0371,cynB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,2.28110125476454,0.01,35,17.0,,significant_up
PMM0246,ntcA,10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray,nitrogen_stress,,,1,-2.271141941,1.0,6,,,not_significant
PMM0263,amt1,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,2.27,1.0,141,,,not_significant
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.26979764302572,0.0006905578191929,21,13.0,,significant_up
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,2.264438881479556,0.0002324155619118,342,132.0,,significant_up
PMM0263,amt1,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,2.26,1.0,159,,,not_significant
PMM1462,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 31,744.0,2,-2.257372852785997,0.0567320752377784,62,,,not_significant
